ax,ay,az,gx,gy,gz
10.18,4.7,-2.09,-0.48,0.53,0.74
8.15,3.35,-1.35,-0.72,0.9,0.72
6.69,2.8,-0.11,-0.77,0.76,0.65
7.83,2.43,0.46,-0.6,0.56,0.61
7.87,1.82,-0.26,-0.56,0.84,0.3
7.52,2.28,0.46,-0.62,0.95,0.01
7.58,2.55,0.46,-0.49,0.89,-0.18
7.45,3.06,0.8,-0.17,0.81,-0.08
7.32,3.2,1.12,-0.04,0.56,0.11
7.93,3.38,0.6,-0.08,0.4,0.11
8.8,2.49,0.29,-0.07,0.65,0.05
8.24,3.19,0.91,0.05,0.33,-0.04
8.06,3.17,0.67,0.15,-0.02,0.01
8.59,3.1,0.09,0.2,-0.16,0.04
8.57,2.98,-0.24,0.17,-0.14,-0.01
8.33,2.59,-0.31,0.14,-0.14,-0.11
7.93,2.29,-0.62,0.13,-0.16,-0.29
7.43,2.07,-0.87,0.24,-0.13,-0.46
7.01,1.88,-1.48,0.51,-0.1,-0.63
