ax,ay,az,gx,gy,gz
14.0,8.55,0.21,0.31,0.15,-1.49
13.63,9.66,-0.1,0.18,0.31,-0.71
14.17,9.23,-0.68,0.2,0.29,0.2
14.36,7.4,-1.04,0.1,0.46,0.77
13.98,5.43,-1.2,-0.07,0.78,0.94
12.83,3.69,-0.79,-0.11,0.88,0.97
11.91,2.37,-0.23,-0.03,0.71,0.96
10.62,1.63,-0.28,0.03,0.48,0.91
9.75,0.88,-0.78,0.03,0.53,0.79
8.65,0.29,-0.76,0.02,0.78,0.71
7.45,-0.28,-0.52,-0.03,0.97,0.52
6.11,-0.79,-0.36,0.04,1.08,0.26
4.74,-0.6,0.35,0.11,1.06,0.02
3.68,-0.22,0.76,0.17,0.75,-0.19
3.5,0.06,0.92,0.32,0.49,-0.41
3.56,0.56,1.05,0.51,0.31,-0.68
3.82,1.37,1.54,0.61,0.11,-0.93
4.81,2.96,2.16,0.63,-0.28,-1.18
7.19,4.56,2.49,0.43,-0.76,-1.19
