ax,ay,az,gx,gy,gz
6.07,-2.82,0.08,-0.26,0.48,0.38
6.19,-3.24,0.42,-0.05,0.6,-0.13
5.96,-2.69,1.16,0.2,0.42,-0.52
6.28,-1.75,1.63,0.44,-0.03,-0.77
7.1,-0.62,1.2,0.58,-0.23,-1.02
7.67,0.62,1.45,0.58,-0.25,-1.18
8.34,2.14,1.1,0.5,-0.35,-1.26
9.08,2.89,0.77,0.47,-0.47,-1.24
10.26,5.12,0.33,0.48,-0.59,-1.17
11.29,6.17,-0.43,0.37,-0.72,-0.9
13.02,7.07,-1.41,0.32,-0.73,-0.56
14.03,7.7,-2.35,0.19,-0.5,-0.26
13.94,8.18,-2.75,-0.03,-0.0,-0.04
13.11,8.13,-2.54,-0.27,0.48,0.26
12.0,7.37,-2.05,-0.42,0.78,0.6
11.08,6.15,-1.52,-0.48,0.91,0.88
10.08,4.66,-1.05,-0.47,0.99,1.05
9.16,3.22,-0.55,-0.43,1.0,1.11
8.04,1.87,0.01,-0.37,0.99,1.11
