ax,ay,az,gx,gy,gz
7.83,0.6,-0.18,0.05,0.76,-0.45
7.35,1.93,0.41,-0.01,0.97,-0.95
6.07,3.44,1.67,-0.05,0.34,-0.57
8.4,4.02,1.34,0.01,-0.37,-0.39
9.93,4.71,1.39,0.09,-0.39,-0.32
10.52,5.43,1.52,-0.02,-0.31,-0.37
10.73,5.97,0.81,-0.08,-0.27,-0.37
10.4,6.32,0.07,-0.04,-0.26,-0.21
9.74,6.2,-0.1,0.03,-0.36,0.06
9.59,5.23,-0.41,-0.06,-0.33,0.29
8.99,4.27,-0.01,-0.34,-0.25,0.31
8.21,2.89,0.44,-0.7,-0.23,0.26
6.96,1.64,0.6,-0.96,-0.4,0.0
6.39,1.07,-0.08,-0.79,-0.71,-0.29
6.82,1.21,-1.12,-0.32,-0.87,-0.58
7.18,1.45,-2.4,0.32,-0.81,-0.72
7.56,2.37,-3.04,0.98,-0.56,-0.9
7.89,3.83,-3.45,1.32,-0.25,-1.09
8.14,5.89,-3.18,1.36,-0.02,-1.12
8.57,7.58,-3.14,1.14,-0.0,-0.92
