ax,ay,az,gx,gy,gz
5.99,6.31,2.92,0.55,-1.1,-0.68
8.55,5.29,-0.08,0.86,0.11,-0.31
11.08,7.69,-0.02,0.83,0.35,-0.85
11.74,7.63,0.47,0.6,0.19,-0.33
12.87,7.63,0.25,0.38,-0.13,0.17
12.2,6.97,0.14,0.04,0.04,0.34
10.25,6.06,0.69,-0.44,0.12,0.43
9.04,4.4,0.98,-0.79,0.14,0.38
7.88,3.04,1.45,-0.88,0.25,0.17
6.33,2.09,2.0,-0.7,0.34,0.04
4.81,1.69,2.88,-0.5,0.11,-0.1
4.01,1.76,3.06,-0.32,-0.32,-0.18
3.89,2.14,3.1,-0.1,-0.69,-0.29
3.97,3.13,3.0,0.06,-1.02,-0.23
4.51,3.52,2.32,0.27,-1.39,-0.13
5.73,4.35,1.47,0.47,-1.59,-0.04
7.06,5.3,0.57,0.53,-1.63,0.03
9.1,5.89,-0.15,0.44,-1.68,0.18
10.94,5.81,-1.64,0.26,-1.73,0.3
11.97,5.47,-2.84,0.08,-1.68,0.39
