ax,ay,az,gx,gy,gz
13.42,12.23,-3.02,-0.52,0.25,0.76
12.46,9.53,-2.96,-1.25,0.59,1.2
11.34,6.64,-2.31,-1.62,0.83,1.5
9.85,3.7,-1.43,-1.75,0.93,1.58
8.65,0.95,-0.46,-1.56,0.91,1.54
8.01,-1.27,0.42,-1.18,0.8,1.36
7.49,-2.85,0.88,-0.73,0.72,1.08
7.12,-3.53,1.17,-0.38,0.65,0.68
6.53,-3.58,1.1,-0.16,0.55,0.27
5.97,-3.12,1.35,-0.09,0.47,-0.18
5.45,-2.66,1.45,-0.08,0.31,-0.58
5.13,-1.94,1.29,0.06,0.18,-0.97
5.44,-1.07,1.29,0.34,0.07,-1.27
5.77,0.65,1.36,0.61,0.05,-1.5
6.13,2.83,1.49,0.68,-0.08,-1.67
7.16,3.52,1.28,0.62,-0.21,-1.55
8.35,8.1,1.06,0.72,-0.4,-1.41
9.84,9.85,0.08,0.74,-0.57,-1.05
11.66,12.23,-0.81,0.65,-0.54,-0.56
