ax,ay,az,gx,gy,gz
12.82,3.84,1.47,0.49,-1.2,0.12
15.27,2.51,-3.4,0.58,0.82,0.19
13.09,3.74,-0.48,0.38,1.79,-0.55
9.98,4.77,1.64,-0.34,1.05,-0.23
9.53,4.42,1.44,-0.52,-0.02,0.19
10.45,3.13,0.55,-0.14,-0.28,0.48
9.25,2.85,1.07,0.25,-0.18,0.57
8.2,2.71,1.75,0.27,-0.3,0.66
8.5,2.2,1.63,0.12,-0.26,0.53
8.09,1.47,1.4,-0.1,-0.03,0.33
7.26,0.64,1.61,-0.28,0.19,0.03
6.58,0.46,1.69,-0.31,0.27,-0.22
6.22,0.74,2.12,-0.16,-0.06,-0.26
7.02,0.95,1.87,0.06,-0.33,-0.38
7.97,1.88,1.74,0.29,-0.49,-0.42
9.33,2.74,1.4,0.39,-0.58,-0.39
10.72,3.39,0.9,0.44,-0.58,-0.27
12.22,3.68,0.22,0.42,-0.57,-0.18
13.38,3.87,-0.41,0.35,-0.52,-0.06
13.56,3.65,-1.04,0.28,-0.36,0.05
