ax,ay,az,gx,gy,gz
-0.39,2.39,-6.44,-1.39,-4.01,-0.69
-2.98,1.5,-6.53,-0.73,-2.91,-1.61
-4.98,4.76,-4.32,-0.93,-3.7,-2.17
-5.38,5.54,-4.92,-1.87,-4.37,-2.24
-6.41,5.2,-6.57,-2.5,-4.37,-2.47
-8.3,5.45,-10.2,-2.1,-4.37,-3.25
-7.99,7.53,-13.0,-0.79,-4.37,-3.69
-7.25,10.89,-13.53,-0.22,-4.37,-3.42
-8.96,13.73,-14.67,-1.09,-4.37,-3.43
-8.5,14.19,-17.71,-2.18,-4.37,-3.16
-6.58,10.76,-19.61,-1.3,-4.37,-2.74
-2.51,9.51,-19.61,1.14,-4.31,-2.99
3.54,12.98,-19.61,2.95,-2.87,-2.67
6.68,14.78,-19.61,2.89,-1.09,-2.22
8.33,16.02,-19.61,1.57,0.66,-2.33
9.04,17.76,-19.61,0.41,2.4,-2.16
6.54,18.36,-19.61,-0.08,3.82,-1.3
3.14,18.24,-19.61,-0.22,4.37,-0.58
-0.13,18.06,-19.61,-0.22,4.37,-0.14
-3.99,18.51,-19.61,-0.22,4.37,0.32
