ax,ay,az,gx,gy,gz
-1.61,0.61,1.7,-0.09,2.35,0.72
1.54,-0.57,2.76,-1.06,0.3,0.49
2.17,-2.12,2.19,-0.78,0.27,0.13
2.11,-2.91,2.74,-0.92,0.93,-0.97
-0.48,-1.55,4.53,-1.18,2.32,-2.62
-6.31,-0.59,6.23,-1.08,2.27,-3.12
-7.93,-1.23,6.5,-0.4,1.88,-3.16
-8.49,-0.82,3.58,0.46,1.88,-3.47
-7.21,-0.84,3.18,1.72,2.76,-3.88
-11.6,3.29,3.8,2.14,1.35,-3.72
-14.6,4.81,0.91,1.52,-1.46,-4.37
-10.15,7.92,-5.49,0.99,-2.96,-4.37
-7.56,13.82,-10.13,0.36,-3.04,-4.37
-3.92,13.75,-10.99,0.53,-2.45,-4.37
-3.29,12.17,-9.94,1.28,-2.24,-4.37
-4.08,16.6,-11.3,0.98,-2.61,-4.37
0.08,16.18,-13.18,0.47,-2.54,-4.37
5.76,16.57,-14.32,1.28,-1.82,-4.37
11.34,19.61,-14.09,3.05,-1.45,-4.37
