ax,ay,az,gx,gy,gz
19.61,0.57,-7.35,1.09,1.15,-2.0
-1.03,5.98,2.21,1.02,2.23,-0.16
2.2,4.6,3.42,-0.3,-0.17,-0.68
4.8,1.76,2.31,-0.26,-0.34,-0.5
3.14,0.82,4.03,-0.33,0.42,-1.4
-0.12,0.87,5.61,-0.98,1.54,-2.53
-3.62,-1.2,7.07,-1.49,2.27,-3.61
-8.41,-3.3,4.43,-0.23,2.59,-4.37
-12.3,-6.65,0.54,1.76,3.54,-4.37
-17.04,-5.26,2.1,3.4,1.74,-4.37
-17.98,0.19,-4.27,2.3,-1.77,-4.37
-11.86,6.35,-11.01,0.77,-2.91,-4.37
-9.52,7.1,-18.77,0.5,-3.25,-4.37
0.1,11.23,-19.61,2.15,-3.12,-4.37
7.89,18.54,-19.61,4.37,-2.43,-4.37
19.61,19.61,-19.61,4.37,-1.38,-4.37
19.61,19.61,-19.61,4.37,0.05,-2.75
19.61,19.61,-19.61,1.46,3.19,-1.08
19.61,19.61,-19.61,0.98,4.37,0.7
