ax,ay,az,gx,gy,gz
8.43,2.64,-0.52,1.08,1.08,-0.94
0.16,2.49,4.14,-0.27,-0.44,-1.24
4.79,-2.13,1.0,-0.55,-0.67,-1.52
1.9,-0.93,1.97,-0.9,0.2,-2.72
0.05,0.01,2.49,-1.31,1.22,-3.76
-2.94,0.12,2.15,-1.41,1.73,-4.37
-3.43,-3.14,-0.3,-0.56,2.58,-4.37
-5.85,-2.27,-4.3,1.3,3.51,-4.37
-6.52,-0.92,-1.2,3.5,3.33,-4.37
-10.66,2.98,-2.88,3.13,0.54,-4.37
-4.51,2.63,-9.06,2.65,-0.86,-4.37
-1.66,6.52,-14.43,2.55,-1.06,-4.37
2.96,12.43,-19.61,2.79,-0.76,-4.37
11.52,19.61,-19.61,2.82,-0.54,-4.37
19.61,19.61,-19.61,2.13,0.69,-3.84
19.61,19.61,-19.61,2.53,3.76,-2.03
19.61,19.61,-19.61,3.55,4.37,-0.2
12.26,19.61,-19.61,2.31,4.37,2.62
1.39,19.61,-19.05,0.85,4.37,3.56
