ax,ay,az,gx,gy,gz
0.98,-1.11,-0.68,-1.41,-4.37,-0.55
8.66,-7.03,-1.24,0.09,-4.01,-2.21
19.61,-5.96,0.99,2.03,-4.37,-1.64
19.61,-3.78,-6.32,2.71,-4.37,-1.13
19.61,6.24,-11.17,2.5,-1.04,-1.46
19.61,4.22,-18.45,0.2,1.37,-3.0
19.61,11.03,-19.61,-1.44,4.33,-4.34
19.61,19.01,-19.61,0.57,4.37,-1.75
19.61,19.61,-19.61,1.68,4.37,0.27
19.61,19.61,-19.61,-0.36,4.37,-0.45
12.4,19.61,-19.61,-3.62,4.37,-0.64
1.79,17.03,-19.61,-4.37,4.37,0.07
-16.13,10.74,-19.61,-3.78,4.37,2.92
-19.61,-6.22,-16.68,-0.04,4.37,3.74
-19.61,-1.14,-12.8,1.54,4.37,2.45
-19.61,-1.6,-3.77,0.99,3.84,1.49
-19.61,-6.02,-0.09,-0.15,0.11,0.73
-19.61,-4.0,-9.0,-0.04,-0.97,0.1
-19.31,-1.24,-10.92,0.81,0.85,-0.31
-17.71,1.93,-1.56,0.39,1.78,-1.32
