time,ax,ay,az,gx,gy,gz,label
1770088964.848363,-10.93,-0.12,-0.1,0.06,-0.19,-0.2,1
1770088964.8511722,-10.86,-0.11,-0.27,0.07,-0.17,-0.2,1
1770088964.8566358,-10.86,0.09,-0.4,0.09,-0.15,-0.2,1
1770088964.859425,-10.91,0.12,-0.38,0.11,-0.15,-0.2,1
1770088964.8622,-11.02,0.19,-0.27,0.11,-0.14,-0.2,1
1770088964.8676832,-10.98,0.17,-0.28,0.11,-0.13,-0.21,1
1770088964.872205,-10.96,0.18,-0.23,0.1,-0.12,-0.22,1
1770088964.874857,-11.2,0.44,-0.32,0.07,-0.13,-0.24,1
1770088964.880225,-11.23,0.41,-0.36,0.05,-0.14,-0.25,1
1770088964.883067,-11.31,0.5,-0.36,0.03,-0.16,-0.26,1
1770088964.88595,-11.37,0.51,-0.45,0.02,-0.17,-0.27,1
1770088964.891296,-11.35,0.47,-0.43,0.01,-0.18,-0.29,1
1770088964.8941262,-11.37,0.49,-0.35,0.0,-0.19,-0.3,1
1770088964.8969269,-11.3,0.43,-0.38,-0.0,-0.19,-0.31,1
1770088964.902271,-11.21,0.43,-0.36,-0.01,-0.2,-0.32,1
1770088964.905227,-11.16,0.37,-0.32,-0.01,-0.21,-0.33,1
1770088964.9121542,-11.16,0.4,-0.29,-0.01,-0.21,-0.34,1
1770088964.9149508,-10.91,0.1,0.08,0.04,-0.23,-0.35,1
1770088964.917782,-10.81,0.04,0.11,0.07,-0.22,-0.35,1
1770088964.920657,-10.61,0.02,0.25,0.11,-0.21,-0.36,1
1770088964.9260411,-10.53,-0.07,0.34,0.14,-0.2,-0.36,1
1770088964.928856,-10.46,-0.06,0.52,0.18,-0.19,-0.37,1
1770088964.9342048,-10.38,-0.03,0.62,0.21,-0.18,-0.36,1
1770088964.937052,-10.35,-0.01,0.76,0.24,-0.17,-0.37,1
1770088964.939911,-10.28,0.01,0.89,0.27,-0.16,-0.37,1
1770088964.942666,-10.23,0.07,1.08,0.31,-0.15,-0.37,1
1770088964.948153,-10.16,0.07,1.25,0.33,-0.14,-0.37,1
1770088964.952443,-10.08,0.13,1.36,0.35,-0.12,-0.38,1
1770088964.9553988,-9.56,0.35,2.01,0.37,-0.04,-0.39,1
1770088964.9606242,-9.44,0.4,2.16,0.36,-0.02,-0.38,1
1770088964.963478,-9.33,0.4,2.17,0.35,0.01,-0.38,1
1770088964.9661708,-9.23,0.44,2.15,0.33,0.04,-0.37,1
1770088964.969192,-9.09,0.37,2.25,0.32,0.07,-0.37,1
1770088964.974478,-9.03,0.36,2.3,0.3,0.1,-0.36,1
1770088964.9771872,-8.89,0.34,2.28,0.28,0.13,-0.36,1
1770088964.980103,-8.77,0.31,2.27,0.27,0.16,-0.35,1
1770088964.982917,-8.71,0.3,2.27,0.25,0.19,-0.35,1
1770088964.9883132,-8.63,0.34,2.28,0.23,0.23,-0.34,1
1770088964.991292,-8.55,0.4,2.24,0.21,0.26,-0.33,1
1770088964.9939442,-8.48,0.46,2.34,0.18,0.28,-0.33,1
1770088964.99707,-8.41,0.52,2.22,0.15,0.31,-0.32,1
1770088965.004118,-8.29,0.56,2.22,0.11,0.34,-0.32,1
1770088965.00687,-7.96,1.0,1.99,-0.16,0.39,-0.33,1
1770088965.009598,-7.9,1.06,2.02,-0.23,0.39,-0.34,1
1770088965.014959,-7.81,1.07,1.98,-0.32,0.39,-0.34,1
1770088965.01776,-7.75,1.07,1.89,-0.4,0.39,-0.35,1
1770088965.0205472,-7.6,1.07,1.67,-0.49,0.38,-0.36,1
1770088965.023581,-7.53,1.01,1.66,-0.56,0.38,-0.36,1
1770088965.028646,-7.35,0.89,1.57,-0.63,0.37,-0.36,1
1770088965.031712,-7.25,0.78,1.4,-0.7,0.36,-0.36,1
1770088965.0343628,-7.11,0.71,1.25,-0.74,0.36,-0.36,1
1770088965.037198,-6.92,0.56,1.1,-0.77,0.36,-0.36,1
1770088965.042579,-6.79,0.43,0.99,-0.79,0.35,-0.36,1
1770088965.045321,-6.67,0.3,0.96,-0.81,0.35,-0.35,1
1770088965.049671,-6.5,0.2,0.82,-0.83,0.36,-0.34,1
1770088965.055024,-6.16,-0.16,0.67,-0.82,0.38,-0.27,1
1770088965.057756,-6.08,-0.23,0.58,-0.81,0.39,-0.26,1
1770088965.0606048,-5.99,-0.28,0.55,-0.79,0.4,-0.24,1
1770088965.066067,-5.85,-0.29,0.5,-0.78,0.42,-0.21,1
1770088965.068776,-5.78,-0.32,0.57,-0.77,0.44,-0.2,1
1770088965.07173,-5.71,-0.25,0.53,-0.75,0.45,-0.18,1
1770088965.0770571,-5.58,-0.2,0.52,-0.75,0.48,-0.14,1
1770088965.0799391,-5.56,-0.23,0.47,-0.74,0.53,-0.12,1
1770088965.082775,-5.33,-0.27,0.57,-0.73,0.51,-0.08,1
1770088965.085537,-5.2,-0.26,0.37,-0.71,0.54,-0.05,1
1770088965.092893,-5.13,-0.3,0.28,-0.7,0.57,-0.02,1
1770088965.095648,-5.03,-0.05,0.03,-0.6,0.63,0.1,1
1770088965.0983622,-4.95,-0.1,-0.1,-0.59,0.63,0.12,1
1770088965.10365,-4.9,-0.04,-0.17,-0.59,0.62,0.14,1
