ax,ay,az,gx,gy,gz
-5.49,3.63,0.96,2.66,1.58,-1.23
-6.41,0.37,-3.56,2.75,-0.67,-0.73
-7.42,5.37,-3.14,1.57,-2.18,-0.27
-3.93,4.51,0.21,-0.31,-2.3,0.24
-4.35,3.43,3.9,-2.28,-0.89,0.62
-8.0,-0.16,6.13,-2.9,-0.65,1.22
-8.51,-1.92,9.96,-2.82,-0.63,1.77
-8.96,-1.09,14.14,-3.26,0.03,2.25
-10.51,-1.36,16.73,-4.37,0.79,3.09
-11.38,-1.62,17.63,-4.37,1.29,3.99
-14.5,-3.55,16.46,-4.37,1.34,4.37
-16.01,-5.37,14.99,-4.37,0.71,4.37
-14.9,-6.57,13.52,-4.37,-0.25,4.37
-13.41,-5.85,12.85,-4.37,-1.0,4.37
-10.69,-6.28,12.22,-4.37,-1.65,4.37
-8.57,-5.4,10.46,-4.37,-1.85,4.37
-5.46,-3.8,7.87,-4.37,-1.88,4.37
-3.44,-4.54,5.27,-4.37,-2.06,4.37
-0.73,-7.61,2.28,-4.37,-2.75,4.37
7.16,-12.36,-0.39,-4.37,-3.17,4.37
