ax,ay,az,gx,gy,gz
-16.59,5.18,2.35,-3.47,-1.11,0.41
-17.56,2.72,3.99,-4.37,-1.84,0.79
-16.97,0.91,4.71,-4.37,-2.0,1.68
-16.97,0.82,4.16,-4.37,-1.81,2.22
-16.55,-0.02,3.69,-4.37,-1.65,2.72
-14.9,-1.17,3.02,-4.37,-1.59,3.42
-12.99,-2.29,1.91,-4.37,-1.5,3.86
-10.89,-2.31,0.94,-4.37,-1.85,3.94
-5.7,-2.38,0.57,-4.37,-2.14,3.61
-0.29,-3.69,0.38,-4.37,-2.19,2.83
6.89,-6.88,1.03,-4.26,-2.34,1.77
13.55,-6.06,3.61,-1.08,-3.33,1.83
16.68,-2.34,6.25,0.77,-4.37,2.66
19.61,0.69,11.11,0.16,-4.37,2.75
17.69,3.55,17.66,-2.42,-4.37,2.9
14.53,1.3,19.61,-4.37,-3.82,2.98
14.44,-0.38,16.6,-3.44,-0.09,3.35
7.7,0.99,10.5,1.19,1.9,1.7
0.52,7.29,7.36,4.37,1.73,-0.8
