ax,ay,az,gx,gy,gz
-18.26,0.51,4.09,-4.37,-0.65,2.74
-15.27,-1.66,3.5,-4.37,-1.35,3.65
-13.57,-1.41,3.04,-4.37,-1.55,4.29
-10.55,0.5,3.74,-4.37,-1.21,4.37
-5.64,2.39,3.74,-4.37,0.0,4.34
-2.09,1.55,1.83,-4.37,0.8,3.62
1.55,1.02,-0.25,-4.37,0.05,2.42
5.26,-6.24,-0.32,-4.37,-2.0,1.25
11.29,-10.55,1.87,-3.59,-4.37,1.38
17.66,-8.12,5.43,-0.37,-4.37,2.44
19.61,-2.05,11.8,-0.53,-4.37,3.87
19.61,1.66,19.61,-3.08,-4.37,4.37
18.8,1.53,19.61,-3.86,-4.37,3.07
7.98,0.46,14.13,-0.82,-0.08,3.26
-0.05,4.96,7.46,3.56,1.03,1.4
3.32,9.39,4.38,4.37,0.56,-0.73
5.04,5.39,4.48,4.37,-0.21,-3.1
4.9,5.24,6.53,4.37,-1.28,-4.37
7.56,3.77,7.02,4.37,-1.54,-4.37
