ax,ay,az,gx,gy,gz
-7.29,4.4,-0.77,-0.31,0.41,1.05
-11.46,4.95,-0.57,-0.84,0.71,1.14
-14.02,4.41,-0.49,-1.94,0.68,1.79
-17.33,3.63,0.47,-3.15,0.14,2.63
-19.15,3.86,2.87,-4.09,-0.5,3.07
-18.55,4.18,4.94,-4.37,-0.74,3.64
-18.94,4.84,4.08,-4.37,-0.89,4.23
-19.61,5.21,2.37,-4.37,-1.86,4.37
-19.61,3.33,3.23,-4.37,-3.12,4.37
-19.61,1.94,7.01,-4.37,-3.18,4.37
-18.39,0.32,7.72,-4.37,-1.22,4.37
-18.63,-3.48,4.79,-4.37,0.35,4.37
-12.07,-7.16,-0.51,-4.37,0.19,4.37
-1.95,-10.39,-4.13,-4.37,-1.13,4.37
11.08,-17.8,-10.81,-4.37,-1.9,4.37
19.61,-19.61,-12.15,-1.9,-3.62,4.37
19.61,-15.62,-2.41,3.29,-4.37,4.37
19.61,7.78,6.97,3.78,-4.37,3.83
15.28,19.61,17.3,1.52,-4.37,1.96
3.0,18.78,19.61,-1.47,-1.86,-0.34
