ax,ay,az,gx,gy,gz
-12.08,-8.23,-0.92,-4.28,-2.39,1.15
-11.45,-7.8,-0.3,-3.58,-2.69,1.36
-10.43,-7.76,0.6,-2.91,-2.74,1.45
-10.69,-8.38,1.21,-2.59,-2.51,1.6
-11.96,-8.72,1.03,-2.72,-2.34,1.66
-14.11,-9.34,0.27,-3.0,-2.26,1.72
-16.86,-13.26,-1.46,-3.86,-2.62,1.82
-16.9,-15.22,-1.89,-4.28,-2.89,2.13
-16.45,-17.17,-2.32,-4.37,-3.19,2.53
-13.84,-19.15,-2.93,-4.37,-4.07,3.43
-11.56,-18.41,-2.54,-4.37,-4.37,3.86
-8.46,-15.78,-1.08,-4.37,-4.37,4.25
0.14,-9.55,3.72,-4.37,-4.37,4.37
3.94,-7.68,5.45,-4.37,-4.37,4.34
7.5,-6.53,6.56,-4.37,-4.37,4.09
11.53,-5.42,7.67,-4.37,-4.37,3.75
17.89,-4.67,8.86,-4.37,-4.37,3.29
19.61,-3.93,10.88,-4.37,-4.37,3.17
19.61,-1.8,14.64,-4.35,-4.37,3.24
19.61,0.07,18.8,-4.34,-4.37,3.26
