time,ax,ay,az,gx,gy,gz,label
1770088730.242342,-9.05,4.76,4.12,-0.78,0.15,0.11,7
1770088730.244997,-9.16,4.85,4.08,-0.79,0.16,0.12,7
1770088730.2505732,-9.19,4.96,3.73,-0.78,0.18,0.12,7
1770088730.253348,-9.26,4.86,3.46,-0.74,0.21,0.11,7
1770088730.256154,-9.41,4.57,3.25,-0.69,0.24,0.1,7
1770088730.258976,-9.59,4.26,3.09,-0.65,0.28,0.1,7
1770088730.2643409,-9.78,4.14,2.97,-0.6,0.3,0.08,7
1770088730.267138,-9.99,4.02,2.87,-0.56,0.33,0.08,7
1770088730.269963,-10.19,3.99,2.63,-0.51,0.34,0.07,7
1770088730.275369,-10.32,3.93,2.52,-0.46,0.36,0.05,7
1770088730.278066,-10.49,3.86,2.27,-0.39,0.36,0.04,7
1770088730.2809632,-10.59,3.69,2.2,-0.33,0.36,0.03,7
1770088730.285002,-10.69,3.58,2.1,-0.27,0.34,0.02,7
1770088730.290493,-11.46,3.66,2.21,-0.08,0.12,-0.04,7
1770088730.293243,-11.56,3.78,2.24,-0.07,0.04,-0.06,7
1770088730.295893,-11.57,3.79,2.26,-0.07,-0.04,-0.08,7
1770088730.301447,-11.56,3.91,2.29,-0.09,-0.12,-0.1,7
1770088730.304353,-11.49,3.97,2.26,-0.12,-0.2,-0.13,7
1770088730.307171,-11.37,4.14,2.37,-0.16,-0.29,-0.14,7
1770088730.3123882,-11.32,4.28,2.33,-0.22,-0.38,-0.16,7
1770088730.3153348,-11.15,4.42,2.4,-0.29,-0.47,-0.16,7
1770088730.3180642,-11.01,4.6,2.39,-0.39,-0.55,-0.17,7
1770088730.3253918,-10.85,4.75,2.45,-0.49,-0.62,-0.17,7
1770088730.3281431,-10.46,5.31,2.45,-1.16,-0.85,-0.22,7
1770088730.331098,-10.49,5.2,2.43,-1.32,-0.88,-0.23,7
1770088730.336371,-10.5,5.09,2.29,-1.46,-0.9,-0.26,7
1770088730.339224,-10.47,4.99,2.24,-1.59,-0.91,-0.28,7
1770088730.342039,-10.47,4.84,2.03,-1.71,-0.92,-0.31,7
1770088730.347442,-10.43,4.67,1.98,-1.8,-0.93,-0.33,7
1770088730.3502169,-10.39,4.47,1.88,-1.89,-0.92,-0.36,7
1770088730.355636,-10.26,4.21,1.84,-1.96,-0.91,-0.39,7
1770088730.358499,-10.24,4.0,1.76,-2.01,-0.9,-0.41,7
1770088730.361242,-10.2,3.74,1.67,-2.04,-0.88,-0.44,7
1770088730.36797,-10.19,3.56,1.66,-2.06,-0.85,-0.47,7
1770088730.370825,-10.21,2.22,1.47,-1.89,-0.75,-0.63,7
1770088730.3737211,-10.26,1.99,1.49,-1.81,-0.75,-0.66,7
1770088730.378989,-10.34,1.71,1.65,-1.73,-0.75,-0.68,7
1770088730.381948,-10.41,1.44,1.63,-1.65,-0.76,-0.69,7
1770088730.3847091,-10.45,1.16,1.68,-1.55,-0.76,-0.69,7
1770088730.39025,-10.46,1.01,1.67,-1.44,-0.78,-0.7,7
1770088730.392928,-10.48,0.88,1.59,-1.35,-0.79,-0.69,7
1770088730.3963368,-10.56,0.82,1.57,-1.24,-0.8,-0.69,7
1770088730.4011352,-10.64,0.9,1.58,-1.13,-0.81,-0.68,7
1770088730.405814,-10.66,0.98,1.57,-1.04,-0.82,-0.67,7
1770088730.408488,-10.89,1.98,1.99,-0.95,-0.84,-0.58,7
1770088730.414032,-11.02,2.31,1.92,-1.0,-0.84,-0.56,7
1770088730.4167218,-11.05,2.5,2.0,-1.06,-0.85,-0.54,7
1770088730.419515,-11.18,2.63,1.94,-1.14,-0.86,-0.52,7
1770088730.424969,-11.21,2.63,1.93,-1.24,-0.87,-0.51,7
1770088730.42792,-11.32,2.58,1.81,-1.35,-0.88,-0.51,7
1770088730.430881,-11.37,2.49,1.76,-1.45,-0.88,-0.52,7
1770088730.435943,-11.34,2.25,1.63,-1.55,-0.88,-0.53,7
1770088730.4387891,-11.28,2.09,1.58,-1.64,-0.88,-0.56,7
1770088730.441666,-11.21,1.75,1.45,-1.72,-0.88,-0.59,7
1770088730.448259,-11.09,1.41,1.4,-1.79,-0.88,-0.61,7
1770088730.451064,-10.74,-0.29,1.17,-1.9,-0.91,-0.76,7
1770088730.456462,-10.75,-0.75,1.12,-1.88,-0.93,-0.79,7
1770088730.459328,-10.74,-1.23,1.04,-1.85,-0.96,-0.84,7
1770088730.4621198,-10.77,-1.66,0.95,-1.79,-0.99,-0.88,7
1770088730.467526,-10.89,-2.06,0.94,-1.73,-1.03,-0.91,7
1770088730.4703228,-11.03,-2.42,0.96,-1.64,-1.07,-0.97,7
1770088730.47341,-11.16,-2.74,0.86,-1.56,-1.11,-1.0,7
1770088730.478555,-11.16,-2.94,0.84,-1.47,-1.14,-1.03,7
1770088730.481437,-11.32,-3.31,0.87,-1.38,-1.19,-1.06,7
1770088730.487848,-11.45,-3.56,0.7,-1.27,-1.22,-1.08,7
1770088730.490665,-11.48,-4.74,0.05,-0.65,-1.33,-1.22,7
1770088730.493623,-11.47,-5.0,0.0,-0.49,-1.34,-1.25,7
1770088730.498997,-11.46,-5.21,-0.18,-0.31,-1.34,-1.29,7
1770088730.5016708,-11.51,-5.3,-0.34,-0.16,-1.33,-1.32,7
1770088730.504543,-11.46,-5.34,-0.38,0.01,-1.31,-1.35,7
1770088730.5100238,-11.36,-5.2,-0.38,0.17,-1.27,-1.38,7
1770088730.512789,-11.29,-5.05,-0.3,0.3,-1.22,-1.39,7
1770088730.5181592,-11.15,-4.87,-0.14,0.4,-1.18,-1.39,7
1770088730.522618,-11.05,-4.67,0.08,0.48,-1.12,-1.37,7
1770088730.525475,-11.23,-3.85,0.7,0.41,-0.73,-1.25,7
1770088730.53092,-11.43,-3.62,0.62,0.32,-0.64,-1.23,7
1770088730.533698,-11.73,-3.51,0.7,0.22,-0.56,-1.2,7
1770088730.5379672,-12.01,-3.43,0.73,0.09,-0.47,-1.19,7
