time,ax,ay,az,gx,gy,gz,label
1770088726.203851,-7.43,2.72,3.73,-0.52,0.4,-0.04,7
1770088726.206605,-7.35,2.49,3.71,-0.44,0.4,-0.03,7
1770088726.209321,-7.3,2.51,3.76,-0.37,0.38,0.0,7
1770088726.214752,-7.23,2.52,3.9,-0.31,0.39,0.02,7
1770088726.217591,-7.14,2.6,4.05,-0.26,0.4,0.08,7
1770088726.220365,-6.98,2.62,4.22,-0.23,0.42,0.11,7
1770088726.2232058,-6.91,2.72,4.24,-0.19,0.44,0.15,7
1770088726.228511,-6.88,2.84,4.41,-0.17,0.45,0.2,7
1770088726.2314382,-6.86,2.99,4.58,-0.13,0.46,0.23,7
1770088726.2341208,-6.87,3.26,4.71,-0.11,0.49,0.25,7
1770088726.237012,-6.87,3.43,4.81,-0.11,0.51,0.25,7
1770088726.242433,-6.93,3.72,5.0,-0.11,0.53,0.25,7
1770088726.245072,-6.95,4.05,5.15,-0.13,0.55,0.25,7
1770088726.249708,-7.01,4.27,5.25,-0.15,0.57,0.23,7
1770088726.252456,-6.83,4.99,5.6,-0.36,0.67,0.14,7
1770088726.257857,-6.8,5.03,5.59,-0.42,0.68,0.12,7
1770088726.260663,-6.72,4.99,5.7,-0.47,0.71,0.1,7
1770088726.263388,-6.63,4.9,5.66,-0.51,0.74,0.08,7
1770088726.26626,-6.61,4.83,5.59,-0.55,0.76,0.06,7
1770088726.271787,-6.58,4.71,5.59,-0.59,0.8,0.04,7
1770088726.274456,-6.65,4.59,5.52,-0.62,0.82,0.03,7
1770088726.277196,-6.66,4.46,5.47,-0.64,0.85,0.02,7
1770088726.280066,-6.8,4.29,5.32,-0.66,0.87,0.01,7
1770088726.2854998,-6.94,4.25,5.17,-0.67,0.89,-0.01,7
1770088726.288344,-7.11,4.29,4.97,-0.66,0.89,-0.02,7
1770088726.2910578,-7.22,4.38,4.87,-0.66,0.88,-0.03,7
1770088726.293844,-7.4,4.5,4.77,-0.66,0.87,-0.03,7
1770088726.300986,-7.41,4.61,4.76,-0.66,0.86,-0.04,7
1770088726.303798,-7.28,4.76,4.76,-0.67,0.83,0.01,7
