time,ax,ay,az,gx,gy,gz,label
1769508450.132833,0.92,3.25,2.8,1.79,2.19,0.34,2
1769508450.1343732,1.16,3.24,2.62,1.68,2.15,0.32,2
1769508450.137413,1.27,3.25,2.96,1.55,2.08,0.29,2
1769508450.140144,1.16,3.28,3.07,1.43,2.02,0.27,2
1769508450.14291,1.09,3.43,3.2,1.33,1.96,0.26,2
1769508450.14594,1.08,3.47,3.17,1.26,1.93,0.26,2
1769508450.149515,1.17,3.51,3.5,1.18,1.9,0.27,2
1769508450.151577,1.28,3.36,3.65,1.1,1.9,0.29,2
1769508450.1543648,1.68,3.19,4.27,0.93,1.6,0.25,2
1769508450.157294,1.6,2.9,3.98,0.78,1.54,0.22,2
1769508450.160506,1.77,3.23,3.53,0.69,1.45,0.22,2
1769508450.163156,1.85,3.23,3.76,0.64,1.38,0.23,2
1769508450.166592,1.99,2.92,3.73,0.6,1.3,0.23,2
1769508450.16896,2.11,2.5,3.87,0.57,1.23,0.23,2
1769508450.1728058,2.2,2.37,3.77,0.55,1.16,0.22,2
1769508450.174849,2.32,2.26,3.83,0.55,1.08,0.23,2
1769508450.177689,2.49,2.25,3.8,0.55,1.02,0.24,2
1769508450.181237,2.63,2.21,3.73,0.55,0.95,0.23,2
1769508450.183483,2.78,2.26,3.68,0.53,0.88,0.24,2
1769508450.1862552,3.02,2.25,3.63,0.52,0.82,0.25,2
1769508450.189269,3.18,2.28,3.6,0.5,0.77,0.25,2
1769508450.192217,3.31,2.28,3.47,0.48,0.71,0.26,2
1769508450.209826,3.42,2.35,3.48,0.45,0.66,0.26,2
1769508450.216432,3.54,2.37,3.45,0.41,0.62,0.26,2
1769508450.2202291,3.68,2.41,3.37,0.38,0.57,0.26,2
1769508450.220404,3.88,2.41,3.23,0.33,0.51,0.25,2
1769508450.220515,3.98,2.4,3.06,0.29,0.45,0.24,2
1769508450.220591,4.01,2.28,2.86,0.25,0.39,0.24,2
1769508450.220665,4.13,2.17,2.75,0.23,0.33,0.23,2
1769508450.220736,4.31,2.07,2.51,0.2,0.27,0.23,2
1769508450.2208068,4.59,2.04,2.42,0.17,0.23,0.24,2
1769508450.2208772,4.72,2.05,2.26,0.14,0.19,0.23,2
1769508450.226275,5.0,2.13,2.11,0.11,0.16,0.24,2
1769508450.2263649,5.29,2.15,2.01,0.11,0.14,0.24,2
1769508450.229364,5.57,2.06,1.95,0.1,0.13,0.23,2
1769508450.23216,5.75,1.93,1.9,0.07,0.11,0.21,2
1769508450.2351758,5.83,2.0,1.62,0.02,0.1,0.2,2
1769508450.2379022,5.95,2.04,1.59,-0.01,0.09,0.19,2
1769508450.2406259,6.09,2.02,1.55,-0.02,0.07,0.18,2
1769508450.2433841,6.22,1.98,1.51,-0.05,0.06,0.18,2
1769508450.2461498,6.35,1.88,1.41,-0.07,0.06,0.16,2
1769508450.248843,6.47,1.74,1.32,-0.09,0.06,0.16,2
1769508450.2515469,6.7,1.48,1.3,-0.09,0.05,0.14,2
1769508450.25438,6.93,1.25,1.24,-0.08,0.06,0.12,2
1769508450.257246,7.05,1.16,1.24,-0.08,0.06,0.11,2
1769508450.260105,7.1,1.07,1.24,-0.08,0.06,0.1,2
1769508450.262891,7.35,1.08,1.3,-0.07,0.06,0.09,2
1769508450.2656,7.59,1.05,1.44,-0.05,0.06,0.09,2
1769508450.2685719,7.71,1.09,1.43,-0.05,0.06,0.08,2
1769508450.271327,7.76,1.05,1.5,-0.05,0.05,0.08,2
1769508450.276046,7.75,0.96,1.52,-0.07,0.04,0.08,2
