ax,ay,az,gx,gy,gz
-2.7,0.06,2.06,0.08,0.02,1.05
-2.58,0.86,2.53,-0.02,-0.18,1.44
-2.11,1.81,3.22,-0.28,-0.37,1.89
-1.29,2.5,3.72,-0.66,-0.49,2.4
-0.31,4.38,5.43,-1.38,-0.53,3.08
0.14,5.8,6.86,-1.87,-0.51,3.33
-0.23,6.43,7.6,-2.15,-0.54,3.4
-0.77,6.87,8.28,-2.39,-0.68,3.47
-1.01,7.16,9.06,-2.58,-0.85,3.61
-1.48,7.43,10.24,-2.73,-1.16,3.99
-1.74,7.56,10.75,-2.74,-1.27,4.24
-1.92,7.99,11.38,-2.75,-1.34,4.37
-2.11,9.32,12.41,-2.96,-1.24,4.37
-2.87,10.97,13.27,-3.35,-0.83,4.37
-4.23,11.77,13.23,-3.49,-0.59,4.37
-5.94,12.42,13.11,-3.55,-0.51,4.37
-9.08,14.01,13.18,-3.62,-0.63,4.37
-11.08,15.97,13.31,-3.74,-0.77,4.37
-12.28,16.84,13.43,-3.71,-0.91,4.37
-13.56,17.49,13.14,-3.76,-1.03,4.37
