ax,ay,az,gx,gy,gz
-3.39,5.05,4.65,0.43,2.09,-0.28
-1.95,3.03,3.27,1.57,2.7,0.14
-3.28,6.45,3.76,1.68,2.71,0.1
-3.47,4.13,4.39,1.04,2.46,0.46
-3.52,3.62,5.45,0.41,2.66,0.77
-6.01,3.76,5.31,-0.36,2.68,1.05
-6.86,3.13,4.77,-1.05,2.95,1.56
-10.57,4.38,3.14,-1.55,2.65,2.02
-13.26,6.96,2.09,-2.2,1.72,2.55
-13.78,8.92,1.21,-2.54,1.32,2.64
-15.45,11.99,-0.17,-3.02,0.65,2.53
-18.09,14.29,-0.19,-3.7,-0.53,2.55
-19.29,15.87,1.24,-4.14,-1.16,2.17
-18.33,16.35,1.36,-3.52,-0.65,0.98
-18.66,16.88,-1.47,-2.5,-0.46,0.25
-18.73,18.89,-3.16,-2.22,-1.13,-0.47
-15.67,19.02,-3.81,-1.68,-2.24,-1.09
-11.14,19.61,-3.19,-1.43,-2.31,-1.99
-6.84,19.61,-5.7,-1.47,-1.74,-2.75
-5.62,19.61,-8.79,-1.26,-2.32,-3.01
