ax,ay,az,gx,gy,gz
-4.23,5.96,-0.33,0.66,1.86,0.49
-7.27,4.6,-2.48,0.51,1.58,1.5
-10.6,5.94,-2.31,0.69,0.99,1.37
-13.0,9.04,-1.64,0.33,0.56,1.54
-19.61,12.47,-3.5,-0.63,-0.27,1.47
-19.61,13.38,-10.85,-1.95,-2.25,1.17
-19.61,13.49,-19.61,-3.38,-4.37,1.68
-19.61,15.85,-19.61,-4.2,-4.37,2.36
-19.61,19.61,-19.61,-4.37,-4.37,1.89
-19.61,19.61,-19.61,-4.37,-4.37,0.73
-14.6,19.61,-19.61,-4.37,-4.37,-2.1
-2.37,19.61,-19.61,-3.79,-4.37,-3.72
10.54,19.61,-19.61,-3.98,-4.37,-3.1
19.61,10.65,-19.61,-4.14,-4.37,-2.4
19.61,4.81,-17.06,-3.67,-4.37,-1.82
19.61,-0.97,-9.13,-3.26,-4.37,-2.12
19.61,-2.79,-4.17,-3.47,-4.37,-1.37
19.61,-8.0,3.06,-4.26,-4.27,0.02
19.61,-15.12,10.42,-3.1,-2.1,0.94
