ax,ay,az,gx,gy,gz
-4.0,2.69,1.84,1.0,3.44,0.71
-4.05,3.47,2.03,0.87,3.0,1.49
-4.87,5.65,1.15,0.93,1.94,2.14
-2.86,10.34,1.16,1.23,1.32,2.03
-2.79,13.8,1.43,1.17,1.6,1.2
-4.76,13.27,1.26,0.57,1.69,0.73
-7.28,11.37,1.86,-0.11,1.17,0.69
-7.61,9.66,2.88,-0.36,0.77,0.63
-7.01,8.4,3.56,-0.27,0.81,0.43
-7.53,7.54,3.91,-0.39,1.03,0.07
-8.66,7.02,3.75,-1.12,1.13,-0.16
-8.68,7.1,1.64,-1.77,1.03,0.07
-9.38,9.59,-0.35,-1.0,0.48,0.16
-10.49,11.93,-1.93,0.09,0.15,-0.46
-11.16,15.47,-4.5,0.36,-0.09,-0.92
-11.74,19.53,-7.48,-0.14,-0.74,-1.24
-11.95,19.61,-10.06,-1.13,-1.75,-2.26
-11.05,19.61,-12.08,-1.9,-2.92,-3.1
-8.97,19.61,-12.88,-1.54,-3.86,-3.62
-7.15,19.61,-12.59,-0.21,-4.29,-4.25
