ax,ay,az,gx,gy,gz
-2.1,4.64,5.58,0.2,3.94,0.62
-0.38,3.0,2.1,0.75,4.37,0.93
-6.18,2.82,1.17,0.44,3.61,0.93
-7.07,1.87,2.23,0.6,2.59,1.33
-8.87,5.63,2.8,0.47,2.47,1.49
-12.24,7.6,1.86,-0.24,2.07,1.72
-16.19,11.0,-0.08,-1.15,0.87,1.94
-16.76,12.58,-1.26,-2.15,-0.01,1.9
-18.33,12.83,-2.71,-2.66,-1.2,1.68
-19.61,17.14,-0.18,-2.02,-1.89,1.15
-17.73,18.84,1.73,-2.29,-1.37,-0.12
-17.45,17.98,-0.93,-3.08,-0.67,-0.62
-19.37,17.05,-4.73,-3.09,-1.08,-1.12
-19.42,17.1,-7.77,-2.68,-2.02,-1.88
-15.52,17.48,-6.29,-2.52,-2.32,-2.76
-11.2,16.72,-8.34,-1.78,-1.87,-3.39
-8.74,19.61,-11.04,-0.92,-2.29,-3.43
-5.16,19.61,-10.74,-1.52,-3.31,-4.37
4.2,19.61,-12.15,-2.45,-2.91,-4.37
13.95,19.61,-12.73,0.12,-3.6,-4.37
