ax,ay,az,gx,gy,gz
-0.37,4.87,4.42,3.27,4.37,1.44
-5.16,4.08,2.69,3.8,3.65,1.72
-7.21,9.49,6.07,2.69,1.63,1.95
-2.79,10.45,8.75,0.27,1.88,2.34
-6.06,12.09,7.69,-2.16,2.73,2.48
-9.81,10.79,4.89,-2.82,2.49,2.46
-12.46,12.86,3.52,-2.33,1.63,2.33
-13.8,16.66,2.67,-2.5,0.85,2.12
-15.12,19.61,0.71,-3.24,0.08,1.93
-17.53,19.61,-0.65,-3.51,-0.36,1.4
-19.41,19.61,-0.69,-3.05,-1.15,0.44
-17.8,19.61,0.74,-2.55,-1.96,-0.48
-15.09,19.61,1.92,-3.0,-2.33,-0.96
-11.88,19.61,0.61,-3.54,-2.13,-1.71
-8.09,19.61,-1.46,-3.13,-1.25,-3.05
-4.73,19.61,-4.49,-2.13,-1.11,-3.64
-0.08,19.61,-6.9,-1.53,-1.58,-4.37
7.76,19.61,-10.85,-1.61,-1.83,-4.37
16.78,19.61,-13.39,-2.34,-2.81,-4.37
19.61,19.61,-13.16,-1.89,-3.25,-4.37
