ax,ay,az,gx,gy,gz
-12.68,-3.91,2.77,3.89,1.78,-0.54
-19.61,0.51,1.76,4.37,1.87,-0.88
-19.61,13.27,1.28,4.37,1.7,-2.15
-19.61,14.77,-5.05,4.37,0.96,-2.77
-18.62,10.14,-11.71,4.37,-0.66,-2.72
-11.4,8.34,-12.2,4.37,-2.36,-2.52
-1.87,6.1,-3.94,1.52,-2.99,-2.63
5.59,1.25,-1.8,-1.29,-2.21,-2.53
6.63,-3.02,0.4,-2.05,-0.83,-1.63
4.25,-5.58,0.3,-0.79,-0.49,-0.91
1.76,-3.95,0.55,0.67,-0.28,-0.11
-2.24,-1.87,-0.13,0.66,-0.32,0.67
-4.75,1.08,-0.14,-0.23,-0.49,0.94
-6.1,0.97,0.01,-0.84,-0.36,0.92
-8.72,1.42,0.76,-0.67,-0.2,0.84
-10.61,3.12,1.14,-0.55,-0.07,0.68
-10.86,3.95,0.87,-0.61,-0.03,0.5
-10.98,3.62,0.41,-0.44,-0.06,0.36
-10.07,3.01,-0.49,-0.19,-0.08,0.15
