ax,ay,az,gx,gy,gz
-8.08,5.66,-1.38,0.89,2.22,0.14
-9.02,5.04,-7.11,2.19,0.94,0.25
-9.89,8.26,-6.2,1.82,0.37,0.33
-12.21,10.12,-7.18,0.99,0.09,0.37
-12.66,10.75,-8.25,0.19,-0.06,0.18
-14.42,11.24,-9.39,-0.36,-0.59,-0.02
-13.47,10.81,-9.71,-0.68,-1.41,-0.25
-12.12,10.48,-8.9,-0.76,-2.06,-0.53
-11.27,9.56,-7.81,-0.74,-2.45,-0.91
-10.29,7.96,-6.9,-0.52,-2.75,-1.15
-9.26,6.93,-6.36,-0.37,-2.98,-1.3
-7.65,6.26,-5.24,-0.27,-3.19,-1.48
-5.88,5.39,-3.55,-0.16,-3.1,-1.43
-4.86,4.54,-2.21,-0.16,-2.75,-1.43
-4.32,3.79,-1.34,-0.12,-2.49,-1.31
-4.01,3.21,-0.69,-0.04,-2.29,-1.16
-3.48,2.9,0.14,0.01,-2.06,-0.99
-3.06,2.79,0.82,-0.01,-1.73,-0.81
-3.33,2.79,1.3,-0.03,-1.42,-0.6
-3.46,2.98,1.54,0.08,-1.12,-0.44
