ax,ay,az,gx,gy,gz
-6.37,3.06,-0.19,0.93,0.79,0.19
-7.8,3.61,-1.01,1.71,0.88,0.19
-10.01,5.18,-1.78,2.0,0.47,0.31
-11.72,7.31,-2.53,1.72,0.22,0.43
-13.71,9.79,-3.55,1.19,-0.02,0.27
-14.77,11.61,-5.34,0.95,-0.31,-0.02
-15.17,13.22,-6.84,1.1,-1.03,-0.47
-14.52,13.68,-7.5,0.88,-1.75,-0.93
-12.88,12.26,-7.13,0.52,-2.37,-1.31
-10.8,10.02,-5.67,0.4,-3.02,-1.67
-7.76,7.76,-4.08,0.46,-3.28,-1.81
-5.67,6.21,-2.61,0.33,-2.91,-1.85
-4.38,4.32,-1.9,0.38,-2.71,-1.69
-3.18,2.91,-0.83,0.66,-2.59,-1.52
-1.78,2.8,0.18,0.88,-2.27,-1.27
-1.45,3.23,1.37,0.73,-1.8,-1.0
-2.23,3.11,1.77,0.47,-1.34,-0.75
-3.36,3.38,1.79,0.33,-1.01,-0.59
-4.25,3.4,1.68,0.22,-0.77,-0.47
-5.41,3.36,1.59,0.23,-0.56,-0.29
