ax,ay,az,gx,gy,gz
-3.77,4.87,-3.1,0.57,0.89,-0.21
-2.59,3.39,-4.6,1.27,1.1,-0.29
-4.59,5.92,-5.64,1.51,1.03,0.2
-6.88,8.39,-7.12,1.33,0.6,0.07
-8.78,9.86,-9.75,0.98,0.28,0.15
-11.39,10.58,-12.05,0.91,-0.56,-0.03
-12.38,11.1,-12.07,0.95,-1.53,-0.24
-12.82,11.83,-11.73,0.84,-2.42,-0.52
-12.18,11.33,-11.07,0.8,-3.09,-0.85
-10.55,10.22,-10.22,0.8,-3.52,-1.15
-8.21,9.02,-9.39,0.73,-3.9,-1.39
-6.74,8.06,-7.58,0.62,-4.15,-1.39
-4.74,7.93,-5.81,0.54,-4.19,-1.43
-3.27,7.37,-4.39,0.5,-3.94,-1.44
-2.2,6.73,-2.99,0.45,-3.48,-1.42
-1.99,5.78,-2.31,0.42,-3.05,-1.35
-1.78,4.87,-1.49,0.5,-2.72,-1.23
-1.7,4.44,-0.83,0.57,-2.39,-1.16
-1.89,4.28,0.03,0.47,-2.08,-1.04
-2.2,3.79,1.07,0.27,-1.84,-0.9
