ax,ay,az,gx,gy,gz
-5.83,1.8,1.34,-0.2,-0.13,0.15
-7.13,2.66,1.95,-0.44,0.42,0.15
-8.23,2.72,1.82,-0.44,0.51,0.14
-8.42,2.8,1.8,-0.33,0.49,0.18
-8.92,3.06,1.58,-0.14,0.54,0.21
-9.16,3.5,1.25,0.01,0.52,0.16
-10.13,3.9,1.09,0.06,0.49,0.08
-10.67,3.92,1.0,0.08,0.42,0.03
-10.31,3.87,0.69,0.03,0.35,-0.03
-9.99,3.71,0.62,-0.06,0.33,-0.12
-10.49,3.37,0.32,-0.19,0.34,-0.15
-10.65,2.69,-0.08,-0.21,0.26,-0.17
-10.64,2.13,-0.28,-0.14,0.22,-0.19
-11.0,1.58,-0.48,0.0,0.18,-0.2
-11.16,1.25,-0.53,0.14,0.12,-0.22
-11.04,0.94,-0.48,0.25,0.07,-0.23
-10.58,0.77,-0.37,0.36,0.04,-0.22
-9.83,0.78,-0.22,0.4,0.03,-0.2
-9.12,1.02,-0.14,0.35,0.03,-0.16
-8.55,1.2,-0.26,0.3,0.03,-0.1
