ax,ay,az,gx,gy,gz
-5.26,4.64,-4.12,0.91,1.04,0.11
-5.32,4.64,-3.46,0.99,0.17,0.32
-6.96,5.81,-3.47,0.86,0.05,0.78
-8.7,7.62,-3.45,0.61,0.11,0.48
-10.85,8.25,-4.84,-0.0,0.22,0.56
-12.73,8.67,-6.44,-0.1,-0.26,0.4
-12.99,9.31,-7.77,0.2,-0.75,0.18
-13.59,10.9,-9.23,0.44,-1.21,-0.1
-13.85,11.81,-10.09,0.5,-1.88,-0.51
-12.85,11.26,-10.25,0.36,-2.46,-0.94
-11.22,10.07,-9.8,0.38,-2.84,-1.3
-9.32,8.94,-8.16,0.64,-3.3,-1.6
-6.05,8.57,-6.18,0.92,-3.38,-1.83
-4.16,8.21,-4.02,0.78,-3.44,-1.77
-2.18,7.24,-2.16,0.34,-3.17,-1.73
-1.38,5.37,-0.78,0.14,-2.74,-1.55
-1.22,4.05,0.48,0.43,-2.36,-1.37
-1.07,4.03,1.5,0.55,-1.94,-1.17
-1.07,3.7,2.23,0.22,-1.41,-0.94
-1.44,2.87,2.05,-0.16,-0.88,-0.64
