ax,ay,az,gx,gy,gz
-9.43,2.7,-1.31,0.02,-0.13,-0.08
-9.41,2.68,-1.3,0.04,-0.11,-0.08
-9.34,2.71,-1.31,0.06,-0.09,-0.07
-9.33,2.64,-1.25,0.08,-0.01,-0.06
-9.45,2.61,-1.3,0.12,0.13,-0.06
-9.69,2.59,-1.37,0.15,0.21,-0.06
-10.14,2.53,-1.41,0.2,0.28,-0.06
-10.95,2.5,-1.64,0.27,0.3,-0.06
-12.19,2.62,-1.92,0.39,0.25,-0.1
-12.99,2.83,-2.1,0.44,0.17,-0.13
-13.65,3.28,-2.21,0.46,0.0,-0.19
-14.27,3.99,-2.13,0.41,-0.28,-0.33
-14.59,4.84,-1.76,0.25,-0.66,-0.58
-14.42,5.22,-1.45,0.08,-0.84,-0.73
-14.16,5.45,-1.17,-0.13,-0.99,-0.88
-13.05,5.03,-0.72,-0.58,-1.18,-1.2
-12.32,4.51,-0.64,-0.7,-1.2,-1.3
-11.47,3.88,-0.52,-0.75,-1.19,-1.35
-10.05,2.65,-0.4,-0.63,-1.11,-1.37
-9.07,1.81,-0.38,-0.45,-1.02,-1.36
