time,ax,ay,az,gx,gy,gz,label
1769503463.933173,-7.55,0.68,3.32,-0.17,0.03,0.21,3
1769503463.9359438,-7.92,0.28,3.64,-0.03,0.14,0.23,3
1769503463.938648,-8.36,-0.28,3.32,0.15,0.22,0.24,3
1769503463.941424,-8.65,-0.2,3.25,0.35,0.27,0.2,3
1769503463.944187,-8.85,0.26,3.3,0.53,0.32,0.17,3
1769503463.946877,-9.15,0.69,3.36,0.69,0.34,0.17,3
1769503463.9496782,-9.71,1.21,3.27,0.82,0.35,0.19,3
1769503463.952446,-10.16,1.44,3.17,0.93,0.34,0.21,3
1769503463.957898,-10.42,1.72,3.04,1.0,0.32,0.23,3
1769503463.960715,-10.61,2.2,2.82,1.04,0.27,0.24,3
1769503463.9634612,-10.85,2.67,2.57,1.05,0.23,0.23,3
1769503463.966207,-10.98,3.11,2.57,1.04,0.19,0.24,3
1769503463.969043,-11.28,3.32,2.33,1.01,0.15,0.23,3
1769503463.971792,-11.53,3.32,2.33,0.97,0.14,0.21,3
1769503463.9745102,-12.06,3.26,2.09,0.93,0.11,0.19,3
1769503463.977281,-12.71,3.26,2.03,0.9,0.09,0.17,3
1769503463.980044,-13.46,3.14,1.89,0.88,0.07,0.13,3
1769503463.982809,-14.22,3.11,1.79,0.85,0.04,0.1,3
1769503463.985659,-15.03,3.19,1.75,0.84,0.02,0.07,3
1769503463.988377,-15.84,3.15,1.68,0.8,-0.02,0.04,3
1769503463.991068,-16.38,3.15,1.76,0.79,-0.06,0.01,3
1769503463.9939232,-17.15,3.1,1.79,0.8,-0.09,-0.02,3
1769503463.9993138,-17.73,2.74,1.96,0.86,-0.11,-0.05,3
1769503464.002138,-18.35,2.2,2.04,0.96,-0.12,-0.07,3
1769503464.0048902,-19.02,1.6,2.13,1.12,-0.12,-0.09,3
1769503464.010541,-19.61,1.03,2.15,1.31,-0.12,-0.11,3
1769503464.013162,-19.61,0.64,2.13,1.54,-0.11,-0.13,3
1769503464.0159051,-19.61,0.46,2.07,1.85,-0.08,-0.15,3
1769503464.0187678,-19.61,0.35,2.02,2.17,-0.02,-0.17,3
1769503464.0241652,-19.61,0.2,2.11,2.53,0.05,-0.18,3
1769503464.026981,-19.61,-0.23,2.27,2.98,0.13,-0.18,3
1769503464.02976,-19.61,-0.69,2.52,3.54,0.29,-0.24,3
1769503464.032485,-19.61,-1.35,2.49,4.17,0.48,-0.31,3
1769503464.0352588,-19.61,-2.15,2.59,4.37,0.66,-0.35,3
1769503464.038006,-19.61,-2.23,2.62,4.37,0.88,-0.42,3
1769503464.040868,-19.61,-1.4,2.64,4.37,1.11,-0.49,3
1769503464.043604,-19.61,0.09,2.45,4.37,1.34,-0.58,3
1769503464.046356,-19.61,1.44,1.95,4.37,1.54,-0.66,3
1769503464.051772,-19.61,2.72,1.59,4.37,1.75,-0.76,3
1769503464.054572,-19.61,3.74,1.52,4.37,1.91,-0.85,3
1769503464.05729,-19.61,5.97,1.61,4.37,2.05,-0.93,3
1769503464.060599,-19.61,8.54,1.17,4.37,2.2,-1.02,3
1769503464.066051,-19.61,10.54,-2.56,4.37,2.09,-1.94,3
1769503464.068923,-19.61,12.02,-3.8,4.37,1.94,-2.13,3
1769503464.071558,-19.61,13.56,-4.81,4.37,1.71,-2.29,3
