time,ax,ay,az,gx,gy,gz,label
1769503757.715071,-11.94,1.71,1.43,0.27,-0.06,0.24,3
1769503757.71777,-12.39,1.99,1.35,0.24,-0.11,0.23,3
1769503757.720565,-12.68,2.15,1.32,0.2,-0.15,0.2,3
1769503757.7233028,-13.17,2.24,1.3,0.16,-0.19,0.17,3
1769503757.728957,-13.75,2.17,1.22,0.12,-0.22,0.13,3
1769503757.731574,-14.3,2.26,1.15,0.09,-0.25,0.09,3
1769503757.734229,-14.98,2.34,1.01,0.07,-0.28,0.03,3
1769503757.73709,-15.55,2.43,0.99,0.04,-0.31,-0.03,3
1769503757.7397969,-16.08,2.48,1.04,0.01,-0.32,-0.08,3
1769503757.742645,-16.42,2.53,1.12,-0.02,-0.34,-0.14,3
1769503757.745432,-16.91,2.65,1.33,-0.05,-0.36,-0.21,3
1769503757.7481291,-17.29,2.94,1.58,-0.07,-0.38,-0.28,3
1769503757.753655,-17.59,3.14,1.99,-0.1,-0.4,-0.36,3
1769503757.756407,-17.91,3.38,2.31,-0.13,-0.41,-0.44,3
1769503757.7591438,-18.22,3.6,2.65,-0.16,-0.44,-0.53,3
1769503757.761958,-18.48,3.66,3.0,-0.19,-0.47,-0.62,3
1769503757.7647412,-18.69,3.83,3.41,-0.2,-0.49,-0.72,3
1769503757.767371,-18.88,3.92,3.77,-0.22,-0.52,-0.81,3
1769503757.7729,-18.72,4.21,4.25,-0.24,-0.51,-0.91,3
1769503757.775744,-18.58,4.28,4.59,-0.26,-0.48,-1.0,3
1769503757.778652,-18.71,4.0,4.77,-0.25,-0.48,-1.06,3
1769503757.7812228,-19.23,3.3,5.05,-0.19,-0.46,-1.12,3
1769503757.783922,-19.61,2.61,5.13,-0.1,-0.44,-1.17,3
1769503757.786806,-19.61,2.05,5.21,0.0,-0.37,-1.21,3
1769503757.789602,-19.61,1.56,4.9,0.17,-0.33,-1.24,3
1769503757.795101,-19.61,0.74,4.49,0.4,-0.34,-1.27,3
1769503757.797892,-19.38,0.34,10.3,1.06,-0.18,-1.31,3
