time,ax,ay,az,gx,gy,gz,label
1769503711.1299489,0.08,-1.2,0.77,1.52,-1.3,-2.34,3
1769503711.137282,-0.16,-1.63,0.78,1.42,-1.24,-2.28,3
1769503711.137634,-0.36,-1.89,0.9,1.34,-1.22,-2.21,3
1769503711.140779,-0.6,-2.18,1.01,1.27,-1.19,-2.12,3
1769503711.143693,-0.68,-2.28,1.01,1.22,-1.17,-2.03,3
1769503711.146531,-0.77,-2.54,1.08,1.16,-1.15,-1.96,3
1769503711.149565,-0.9,-2.75,1.24,1.1,-1.12,-1.88,3
1769503711.1521332,-1.0,-2.79,1.34,1.05,-1.1,-1.8,3
1769503711.154869,-1.09,-2.81,1.39,1.01,-1.09,-1.71,3
1769503711.157571,-1.27,-2.7,1.51,0.96,-1.07,-1.63,3
1769503711.160406,-1.44,-2.65,1.7,0.91,-1.05,-1.54,3
1769503711.1657732,-1.56,-2.66,1.75,0.87,-1.03,-1.48,3
1769503711.168876,-1.76,-2.63,1.86,0.83,-1.02,-1.42,3
1769503711.171403,-2.11,-2.6,1.92,0.79,-0.99,-1.35,3
1769503711.174033,-2.43,-2.51,1.87,0.75,-0.97,-1.29,3
1769503711.176801,-2.57,-2.41,1.96,0.71,-0.96,-1.23,3
1769503711.180194,-2.64,-2.33,2.07,0.68,-0.93,-1.17,3
1769503711.182571,-2.74,-2.3,2.13,0.65,-0.91,-1.11,3
1769503711.1862662,-2.95,-2.21,2.18,0.62,-0.89,-1.05,3
1769503711.1905248,-3.13,-2.15,2.3,0.59,-0.86,-0.99,3
1769503711.193354,-3.37,-1.98,2.3,0.57,-0.84,-0.95,3
1769503711.197897,-3.58,-1.86,2.37,0.54,-0.8,-0.89,3
1769503711.202902,-3.93,-1.54,2.85,0.49,-0.64,-0.71,3
1769503711.203424,-4.06,-1.38,3.03,0.48,-0.6,-0.67,3
1769503711.206192,-4.25,-1.17,3.14,0.47,-0.55,-0.64,3
1769503711.208929,-4.41,-1.0,3.23,0.46,-0.5,-0.61,3
1769503711.211751,-4.6,-0.86,3.34,0.44,-0.45,-0.58,3
1769503711.217518,-4.67,-0.82,3.52,0.43,-0.4,-0.54,3
1769503711.219969,-4.77,-0.83,3.64,0.43,-0.35,-0.51,3
1769503711.222683,-4.91,-0.71,3.68,0.42,-0.31,-0.48,3
1769503711.225439,-5.09,-0.55,3.8,0.41,-0.28,-0.46,3
1769503711.228222,-5.3,-0.47,3.88,0.4,-0.23,-0.42,3
1769503711.231189,-5.43,-0.37,3.93,0.38,-0.19,-0.4,3
1769503711.2342222,-5.49,-0.36,4.06,0.37,-0.16,-0.36,3
1769503711.236644,-5.54,-0.38,4.1,0.36,-0.12,-0.34,3
1769503711.241916,-5.61,-0.3,4.1,0.34,-0.08,-0.31,3
1769503711.2447731,-5.62,-0.31,4.08,0.33,-0.02,-0.29,3
1769503711.247542,-5.72,-0.34,4.12,0.31,0.03,-0.27,3
1769503711.25041,-5.78,-0.3,4.02,0.28,0.08,-0.26,3
1769503711.253186,-5.97,-0.28,4.08,0.25,0.13,-0.24,3
1769503711.255876,-6.09,-0.29,4.02,0.22,0.19,-0.22,3
1769503711.2585568,-6.26,-0.25,3.98,0.18,0.24,-0.21,3
1769503711.261386,-6.45,-0.19,3.8,0.13,0.29,-0.2,3
1769503711.2641711,-6.61,-0.16,3.7,0.08,0.34,-0.2,3
