ax,ay,az,gx,gy,gz
-4.29,17.36,-19.61,0.17,-4.37,-1.69
-1.39,14.4,-19.61,-0.87,-4.37,-2.52
1.46,9.48,-19.61,-1.51,-4.37,-2.79
4.02,6.41,-18.55,-1.96,-4.37,-2.43
6.39,4.46,-12.87,-2.76,-4.37,-2.18
7.47,1.51,-7.19,-3.47,-4.37,-2.09
6.29,-1.35,-3.08,-3.44,-4.37,-1.83
4.79,-3.55,0.74,-2.45,-4.37,-1.49
4.3,-3.91,2.59,-1.27,-4.37,-1.34
4.06,-2.79,3.36,0.26,-2.94,-1.47
3.15,-1.86,2.57,1.25,-1.78,-1.36
3.07,-0.67,1.84,1.89,-1.14,-1.2
3.01,-0.07,1.32,2.15,-0.86,-0.89
3.15,0.92,1.58,2.02,-0.73,-0.53
3.69,1.57,1.44,1.4,-0.42,-0.51
2.83,0.19,1.22,0.85,0.06,-0.14
1.85,-0.11,1.47,0.85,0.36,0.05
1.07,0.54,2.07,0.63,0.5,0.4
0.66,0.57,2.4,0.24,0.93,0.59
