ax,ay,az,gx,gy,gz
-18.48,9.13,-19.61,0.16,-2.66,-1.34
-16.27,7.41,-19.61,0.62,-4.37,-1.29
-11.1,6.25,-19.61,-0.08,-4.37,-0.8
-6.31,5.02,-19.61,-1.22,-4.37,-0.52
-2.21,4.23,-19.61,-2.3,-4.37,-0.52
0.7,4.27,-18.43,-1.99,-4.37,-0.62
3.02,3.13,-14.95,-0.76,-4.37,-0.89
4.26,2.72,-10.34,-0.04,-4.37,-0.81
4.5,3.1,-6.9,0.08,-4.37,-0.28
4.86,3.66,-4.84,-0.29,-4.37,-0.05
5.06,3.39,-4.53,-0.49,-3.68,-0.51
5.7,2.8,-6.13,-0.19,-2.33,-1.41
4.36,1.23,-6.1,0.22,-2.69,-1.4
2.88,1.04,-3.37,-0.26,-4.07,-0.18
4.44,1.27,0.95,-1.17,-4.37,0.63
6.07,0.23,4.39,-1.42,-3.16,0.3
6.27,-1.06,5.77,-1.25,-1.83,0.12
5.23,-0.98,7.42,-0.74,-0.95,0.55
4.31,-0.57,8.54,-0.45,-0.23,0.67
