ax,ay,az,gx,gy,gz
-1.3,6.09,-19.61,0.25,-2.73,-2.7
0.96,4.17,-19.61,-0.25,-4.37,-2.04
3.45,2.05,-19.61,-1.09,-4.37,-1.33
6.59,-0.43,-17.75,-2.3,-4.37,-0.69
8.05,-1.92,-12.91,-3.25,-4.37,-0.15
6.43,-2.24,-9.33,-3.19,-4.37,-0.03
4.9,-2.47,-6.13,-2.45,-4.37,-0.08
5.07,-2.16,-2.66,-1.66,-4.37,0.14
4.94,-1.35,1.55,-1.05,-4.37,0.46
4.76,0.08,3.64,-0.83,-4.37,0.11
3.72,0.01,5.6,-0.87,-3.68,0.04
3.0,-0.24,6.15,-0.73,-2.41,0.09
2.72,-0.63,6.0,-0.31,-1.29,-0.03
2.34,-0.93,5.63,0.25,-0.61,-0.05
2.07,0.02,5.71,0.66,-0.22,0.05
1.61,0.43,6.04,0.47,0.21,0.11
1.06,0.63,5.6,0.27,0.76,0.55
0.76,0.71,5.14,0.23,1.37,0.6
0.63,1.53,4.14,-0.06,2.07,0.52
