ax,ay,az,gx,gy,gz
2.32,-1.05,7.92,-1.67,2.27,2.71
4.14,-2.75,7.03,-1.79,2.81,3.64
4.81,-4.32,5.42,-1.03,3.18,4.37
7.12,-3.72,4.14,-0.14,3.43,4.37
9.36,-1.98,2.53,0.06,3.96,4.37
9.05,-1.44,-0.81,-0.29,3.95,4.37
10.13,-2.63,-5.51,-0.52,3.56,4.37
9.46,-3.12,-13.3,0.17,3.27,4.37
9.39,1.95,-19.61,1.79,2.7,4.37
8.53,18.06,-19.61,2.9,1.31,4.37
3.96,19.61,-19.61,3.28,-0.52,4.37
-5.6,19.61,-19.61,1.67,-2.43,3.97
-7.3,19.61,-19.61,-0.02,-4.37,2.63
-2.91,19.61,-19.61,-0.69,-4.37,0.56
4.08,19.61,-19.61,-0.97,-4.37,-1.68
12.91,19.61,-19.61,-1.29,-4.37,-3.81
19.61,19.61,-19.39,-1.55,-4.37,-4.37
19.61,19.61,-17.6,-2.02,-4.37,-4.37
19.61,19.61,-15.28,-1.94,-4.37,-4.37
19.61,19.61,-11.24,-1.42,-4.37,-4.37
