ax,ay,az,gx,gy,gz
0.39,0.95,3.78,-1.72,4.37,0.96
1.3,0.0,1.24,-1.36,4.17,1.43
1.42,0.03,1.13,-0.81,3.37,1.68
4.07,1.31,3.0,-0.16,3.43,1.73
5.2,2.36,3.37,-0.2,4.16,2.0
4.97,2.1,2.5,-0.61,4.37,2.43
5.7,1.14,2.04,-0.81,4.37,2.9
6.03,-0.21,1.11,-0.76,4.37,3.33
5.48,-2.18,-1.07,-0.15,4.37,3.94
5.75,-2.19,-3.39,0.72,4.37,4.35
6.33,-0.95,-5.12,0.98,4.37,4.37
3.27,-1.27,-7.79,1.02,4.37,4.37
1.43,1.36,-13.3,2.03,4.37,4.37
1.77,7.23,-19.05,3.26,4.37,4.37
-0.58,15.48,-19.61,3.6,4.37,4.37
-3.04,19.61,-19.61,3.32,3.98,4.34
-5.29,19.61,-19.61,3.34,2.24,3.19
-8.17,19.61,-19.61,3.66,0.33,2.2
-10.38,19.61,-19.61,1.96,-1.62,1.27
-8.82,19.61,-19.61,-0.88,-3.94,0.95
