ax,ay,az,gx,gy,gz
1.19,4.87,0.77,-0.84,4.3,-2.6
0.39,4.08,-0.04,-0.18,3.87,-2.54
0.91,2.34,0.36,-0.42,2.81,-2.21
4.03,0.84,2.34,-1.18,2.87,-1.81
4.54,-0.88,2.66,-1.75,3.87,-1.02
3.36,-2.12,1.27,-2.03,4.15,-0.28
3.51,-3.78,0.49,-1.94,3.62,0.61
4.7,-3.79,0.47,-1.53,3.66,1.3
4.34,-3.47,-0.79,-1.28,3.84,2.15
3.05,-2.84,-1.6,-1.39,3.78,3.1
2.05,-3.15,-3.28,-1.25,3.98,4.04
1.98,-1.92,-5.95,-1.0,4.37,4.37
2.59,0.43,-10.45,-0.52,4.37,4.37
0.42,2.22,-17.03,0.57,4.37,4.37
-1.93,7.9,-19.61,2.0,3.91,4.37
-3.67,14.54,-19.61,2.84,2.39,4.37
-2.4,19.61,-19.61,3.35,0.86,3.71
-4.61,19.61,-19.61,3.14,-0.31,2.72
-8.43,19.61,-19.61,1.88,-2.26,1.95
-9.75,19.61,-19.61,-0.48,-4.37,1.17
