ax,ay,az,gx,gy,gz
-15.87,9.09,-19.61,0.63,-3.37,-1.42
-15.15,8.11,-19.61,1.4,-4.37,-1.34
-7.79,8.47,-19.61,2.17,-4.37,-1.71
-0.81,5.81,-19.61,0.79,-4.37,-1.54
5.72,4.45,-19.61,-2.27,-4.37,-0.16
7.64,3.23,-16.6,-4.37,-4.37,0.75
7.79,1.52,-10.52,-4.37,-4.37,0.37
9.45,1.55,-2.06,-4.14,-4.37,-0.75
8.13,-0.48,-1.72,-2.6,-4.37,-0.93
5.16,-0.11,0.44,-1.31,-3.86,-1.11
4.33,0.56,1.57,-0.24,-3.14,-1.04
4.32,0.39,1.66,0.4,-2.47,-0.77
4.04,0.47,2.06,0.67,-2.02,-0.49
3.93,0.17,2.42,0.78,-1.44,-0.28
3.9,0.13,2.58,0.88,-0.97,0.02
4.26,0.4,3.13,0.52,-0.4,-0.1
4.28,1.26,3.31,0.3,0.23,0.06
3.28,0.07,3.72,0.24,0.64,-0.06
2.14,0.33,3.97,0.16,0.87,0.18
