ax,ay,az,gx,gy,gz
10.47,2.7,-0.29,1.21,-0.2,0.72
12.33,0.94,-2.1,1.95,1.98,0.31
8.51,6.38,1.02,1.15,2.31,-0.48
6.98,6.04,3.69,-0.61,0.78,-0.23
9.8,3.66,3.05,-1.29,-0.34,-0.04
10.82,1.69,2.8,-0.75,-0.33,0.02
10.42,2.3,3.58,-0.11,-0.23,-0.04
9.67,3.77,4.04,-0.28,-0.63,-0.09
9.86,4.41,3.89,-1.16,-1.28,-0.19
10.43,3.49,3.15,-2.24,-1.73,-0.61
11.87,3.22,2.83,-2.91,-1.62,-1.03
13.0,2.59,3.94,-3.41,-1.19,-1.38
12.42,3.41,6.08,-4.37,-1.31,-1.88
11.97,3.0,6.42,-4.37,-2.18,-2.16
12.33,2.89,4.58,-4.37,-3.13,-2.2
13.55,1.72,3.01,-4.37,-3.44,-1.97
14.07,-0.03,1.6,-4.37,-3.18,-2.4
14.7,-1.91,0.55,-4.37,-2.55,-3.27
14.57,-1.09,0.14,-4.37,-1.97,-4.04
13.78,0.79,-0.43,-4.37,-1.78,-4.37
