ax,ay,az,gx,gy,gz
13.55,2.48,1.37,-1.03,-0.59,0.07
13.47,1.7,2.77,-1.42,0.67,-1.22
13.61,3.57,4.49,-1.9,0.51,-1.93
16.06,6.54,5.01,-3.37,0.23,-2.07
18.91,9.67,5.68,-4.37,0.53,-2.58
19.38,10.22,8.24,-4.37,0.34,-3.24
19.61,9.22,6.58,-4.37,-0.15,-3.25
19.61,4.4,6.33,-4.37,-0.59,-2.12
19.61,-4.21,2.47,-4.37,-2.76,-2.43
19.61,-5.69,-3.96,-4.37,-2.12,-3.68
17.86,-2.82,-6.53,-4.37,1.1,-4.37
8.88,-1.93,-7.75,-4.37,2.77,-4.08
-3.18,-6.23,-9.76,-4.37,2.46,-1.73
-18.61,-18.31,-3.98,-4.37,2.91,-1.59
-19.61,-13.74,7.28,-4.37,4.37,-3.77
-19.61,-17.01,19.61,-4.37,4.37,-2.97
-19.61,-17.56,19.61,0.22,3.24,-4.36
-15.84,9.94,13.94,4.37,-0.19,-3.04
-3.23,19.61,9.93,4.37,-1.04,1.58
4.66,18.5,8.96,3.77,-2.37,3.99
