ax,ay,az,gx,gy,gz
6.73,3.79,1.16,1.34,-0.61,0.14
10.63,3.4,-0.76,1.35,0.21,0.23
10.38,4.26,-1.75,1.19,1.59,-0.17
7.2,4.37,0.29,0.37,1.81,-0.3
4.86,5.37,3.05,-0.65,0.48,-0.04
8.53,3.85,2.89,-1.22,-0.54,0.14
8.59,4.08,4.12,-1.38,-0.54,0.01
8.71,3.85,5.9,-1.45,-0.61,-0.33
9.53,4.99,7.1,-2.02,-0.76,-1.0
9.99,6.5,8.99,-3.51,-1.02,-1.68
9.49,7.23,10.48,-4.37,-2.0,-1.96
10.68,6.58,9.76,-4.37,-2.91,-2.21
12.39,5.55,8.04,-4.37,-3.15,-2.66
13.15,2.85,5.44,-4.37,-3.06,-3.43
13.52,0.16,2.71,-4.37,-2.93,-3.5
13.07,-0.52,1.78,-4.37,-2.81,-3.21
12.02,0.16,1.41,-4.37,-2.64,-3.35
11.66,-0.15,-0.22,-4.37,-2.17,-3.5
12.45,1.03,-0.68,-4.37,-0.87,-3.76
11.32,1.57,0.44,-4.37,0.74,-4.37
