ax,ay,az,gx,gy,gz
19.61,-19.61,5.06,-4.37,-3.25,-3.71
19.61,-15.38,-5.19,-4.37,-1.15,-4.37
19.61,-19.61,-13.49,-4.37,2.86,-4.37
19.61,-18.43,-12.76,-4.37,4.37,-4.37
5.52,-11.54,-11.87,-4.37,4.37,-4.37
-8.89,-10.19,-6.74,-4.37,4.37,-4.37
-19.61,-10.43,-3.22,-4.37,4.37,-4.37
-19.61,-16.25,9.29,-4.37,4.37,-2.99
-19.61,-15.25,19.61,-4.37,4.37,-3.25
-19.61,-3.47,19.61,-0.54,3.99,-2.97
-19.61,12.63,18.24,3.04,-2.78,0.07
-17.83,13.93,3.93,4.37,-4.37,3.92
-15.81,2.29,2.54,4.37,-3.6,4.37
-15.67,2.16,4.44,4.37,-2.47,4.37
-15.05,-0.84,5.99,4.37,-2.5,4.37
-12.47,-1.4,6.11,4.37,-2.96,4.37
-7.69,-2.2,6.24,4.37,-3.03,4.37
-4.08,-1.06,6.27,4.37,-2.44,4.37
