ax,ay,az,gx,gy,gz
19.61,-19.61,-19.61,-4.37,4.37,-4.37
9.9,-19.61,-19.61,-4.37,4.37,-4.37
-10.65,-14.43,-16.83,-4.37,4.37,-4.37
-19.61,-16.77,-9.92,-4.37,4.37,-4.37
-19.61,-18.61,8.95,-4.37,4.37,-4.37
-19.61,-13.9,19.61,-4.37,4.37,-3.67
-19.61,-17.11,19.61,-4.37,3.43,-4.36
-19.61,-4.13,19.61,0.91,-3.19,-1.34
-9.1,9.57,2.68,4.37,-3.35,2.61
-10.16,5.5,4.88,4.37,-2.59,4.19
-11.48,-3.93,6.13,2.34,-3.16,3.0
-10.3,-3.37,6.52,1.44,-3.88,1.61
-9.87,-7.63,5.19,3.59,-4.37,2.41
-8.75,-4.81,5.53,4.37,-4.37,2.79
-8.33,-1.88,5.74,4.37,-4.37,2.9
-6.93,0.14,6.42,4.37,-4.37,2.39
-6.26,-0.61,5.12,4.37,-4.37,2.32
-2.07,0.51,2.53,4.37,-4.37,2.82
6.95,1.68,-0.19,3.94,-4.37,2.98
