time,ax,ay,az,gx,gy,gz,label
1769500488.9301171,6.76,5.48,3.42,-0.26,0.07,-0.52,5
1769500488.9328,6.71,5.44,3.48,-0.27,0.07,-0.5,5
1769500488.935551,6.68,5.44,3.56,-0.27,0.07,-0.5,5
1769500488.938334,6.67,5.42,3.48,-0.29,0.07,-0.5,5
1769500488.9410582,6.61,5.35,3.54,-0.3,0.07,-0.51,5
1769500488.9439528,6.57,5.28,3.6,-0.31,0.07,-0.52,5
1769500488.946704,6.48,5.23,3.65,-0.33,0.07,-0.53,5
1769500488.952062,6.51,5.21,3.63,-0.34,0.07,-0.54,5
1769500488.95488,6.5,5.21,3.74,-0.36,0.07,-0.55,5
1769500488.957671,6.49,5.23,3.8,-0.37,0.07,-0.57,5
1769500488.960248,6.4,5.27,4.05,-0.39,0.06,-0.58,5
1769500488.96318,6.24,5.25,4.2,-0.41,0.05,-0.58,5
1769500488.965876,6.07,5.16,4.25,-0.41,0.03,-0.57,5
1769500488.968731,5.96,4.97,4.37,-0.43,0.01,-0.58,5
1769500488.9715571,5.79,4.73,4.59,-0.45,-0.02,-0.59,5
1769500488.9741828,5.68,4.55,4.82,-0.49,-0.05,-0.61,5
1769500488.976833,5.46,4.42,4.89,-0.54,-0.08,-0.63,5
1769500488.979732,5.28,4.22,5.13,-0.58,-0.12,-0.66,5
1769500488.982423,5.12,4.02,5.26,-0.61,-0.17,-0.68,5
1769500488.985263,4.98,3.71,5.44,-0.62,-0.22,-0.71,5
1769500488.990741,4.81,3.27,5.7,-0.62,-0.28,-0.75,5
1769500488.993382,4.78,2.76,5.83,-0.61,-0.33,-0.79,5
1769500488.9962518,4.68,2.36,6.06,-0.59,-0.38,-0.83,5
1769500488.999056,4.66,2.03,6.31,-0.56,-0.45,-0.87,5
1769500489.0018492,4.69,1.79,6.42,-0.52,-0.5,-0.91,5
1769500489.004558,4.7,1.5,6.43,-0.47,-0.53,-0.96,5
1769500489.007326,4.8,1.35,6.3,-0.42,-0.56,-1.01,5
1769500489.0100322,4.87,1.24,6.88,-0.36,-0.58,-1.06,5
1769500489.012806,5.12,0.77,6.7,-0.34,-0.59,-1.13,5
1769500489.018404,5.24,0.6,6.28,-0.28,-0.54,-1.19,5
1769500489.0211358,5.36,0.8,6.17,-0.22,-0.49,-1.2,5
1769500489.023854,5.4,1.27,6.82,-0.18,-0.45,-1.2,5
1769500489.026603,5.56,1.23,6.81,-0.17,-0.39,-1.23,5
1769500489.029411,5.59,1.35,6.91,-0.18,-0.32,-1.28,5
1769500489.032214,5.61,1.58,7.18,-0.2,-0.25,-1.3,5
1769500489.037642,5.6,1.72,7.46,-0.22,-0.19,-1.31,5
1769500489.040428,5.52,1.69,7.58,-0.26,-0.11,-1.32,5
1769500489.043181,5.46,1.66,7.68,-0.31,-0.05,-1.34,5
1769500489.045931,5.39,1.63,7.87,-0.37,0.03,-1.36,5
1769500489.048743,5.32,1.63,8.04,-0.44,0.1,-1.39,5
1769500489.051458,5.4,1.63,8.19,-0.5,0.17,-1.41,5
1769500489.054404,5.44,1.53,8.39,-0.57,0.23,-1.44,5
1769500489.057007,5.37,1.49,8.57,-0.64,0.27,-1.46,5
1769500489.059668,5.24,1.41,8.73,-0.7,0.31,-1.5,5
1769500489.06252,5.04,1.13,8.76,-0.74,0.33,-1.54,5
1769500489.065321,4.94,0.95,8.86,-0.77,0.36,-1.58,5
1769500489.0681212,4.91,0.57,9.0,-0.78,0.37,-1.62,5
1769500489.070944,4.95,0.3,9.11,-0.76,0.38,-1.66,5
1769500489.0736132,5.04,0.19,9.19,-0.73,0.39,-1.69,5
1769500489.076284,5.19,0.16,9.31,-0.71,0.4,-1.72,5
1769500489.081779,5.37,0.16,9.33,-0.67,0.4,-1.74,5
1769500489.084589,5.59,0.03,9.46,-0.62,0.41,-1.77,5
1769500489.087308,5.69,0.03,9.52,-0.56,0.42,-1.81,5
1769500489.090142,5.89,0.0,9.62,-0.52,0.42,-1.84,5
1769500489.0928352,5.98,0.06,9.57,-0.48,0.43,-1.86,5
1769500489.095649,6.13,0.16,9.58,-0.44,0.43,-1.89,5
1769500489.098461,6.35,0.32,9.54,-0.4,0.44,-1.92,5
1769500489.101162,6.57,0.5,9.41,-0.36,0.45,-1.95,5
1769500489.103945,6.91,0.66,9.39,-0.33,0.47,-1.98,5
1769500489.106739,7.21,0.95,9.25,-0.3,0.49,-1.99,5
1769500489.1094651,7.53,1.24,9.04,-0.26,0.52,-2.0,5
1769500489.112224,7.73,1.48,8.82,-0.22,0.56,-2.0,5
1769500489.115036,8.0,1.86,8.6,-0.17,0.62,-1.98,5
1769500489.117783,8.37,2.27,8.46,-0.13,0.69,-1.94,5
1769500489.120556,8.73,2.75,8.39,-0.08,0.77,-1.89,5
1769500489.123302,9.12,3.22,8.31,-0.03,0.85,-1.83,5
1769500489.12875,9.49,3.69,8.19,0.03,0.94,-1.74,5
1769500489.131543,9.97,4.19,8.08,0.07,1.03,-1.66,5
1769500489.134253,10.43,4.7,7.92,0.11,1.14,-1.58,5
1769500489.137086,10.85,5.19,7.85,0.14,1.23,-1.5,5
1769500489.13983,11.12,5.48,7.79,0.15,1.33,-1.45,5
1769500489.142635,11.51,5.84,7.66,0.17,1.44,-1.41,5
1769500489.145361,11.97,6.14,7.59,0.19,1.55,-1.38,5
1769500489.1481678,12.35,6.48,7.5,0.21,1.66,-1.36,5
1769500489.150849,12.84,6.85,7.32,0.23,1.78,-1.35,5
1769500489.153656,13.29,7.27,7.22,0.25,1.89,-1.36,5
1769500489.15646,13.71,7.75,7.13,0.27,2.01,-1.37,5
1769500489.1592991,14.14,8.3,7.13,0.28,2.13,-1.39,5
1769500489.161939,14.45,8.75,7.02,0.29,2.25,-1.41,5
1769500489.164861,14.84,9.5,7.05,0.28,2.36,-1.44,5
1769500489.167406,15.21,10.25,7.04,0.26,2.46,-1.44,5
1769500489.170358,15.57,11.01,6.96,0.21,2.55,-1.44,5
1769500489.17741,15.89,11.67,7.01,0.16,2.64,-1.44,5
1769500489.180424,17.56,13.48,7.04,-0.25,2.89,-1.44,5
1769500489.1830552,18.01,13.94,6.86,-0.37,2.9,-1.45,5
1769500489.185811,18.47,14.3,6.65,-0.48,2.9,-1.47,5
1769500489.1885362,19.06,14.5,6.21,-0.59,2.91,-1.51,5
1769500489.191339,19.61,13.81,6.33,-0.68,2.69,-1.4,5
1769500489.1948822,19.14,15.61,4.62,-0.69,2.97,-1.54,5
1769500489.199254,19.61,15.42,5.26,-0.74,2.94,-1.58,5
1769500489.208467,19.61,15.98,4.86,-0.77,2.98,-1.61,5
1769500489.208575,19.61,17.03,4.48,-0.8,2.99,-1.6,5
1769500489.208662,19.61,18.24,4.11,-0.82,3.01,-1.56,5
1769500489.210468,19.61,19.47,3.68,-0.85,3.01,-1.49,5
1769500489.213783,19.61,19.61,3.11,-0.86,3.01,-1.39,5
1769500489.2187562,19.61,19.61,2.45,-0.87,3.0,-1.24,5
1769500489.2188969,19.61,19.61,1.84,-0.92,2.98,-1.06,5
1769500489.2215848,19.61,19.61,1.13,-0.95,2.98,-0.86,5
1769500489.227061,19.61,19.61,0.49,-0.9,2.99,-0.66,5
1769500489.229702,19.61,19.61,-0.54,-0.86,3.04,-0.42,5
1769500489.2325618,19.61,19.61,-2.05,-0.8,3.12,-0.04,5
1769500489.235381,19.61,19.61,-2.02,-0.7,2.98,0.19,5
1769500489.238045,19.61,19.61,-3.14,-0.62,2.95,0.24,5
1769500489.240879,19.61,19.61,-5.67,-0.48,3.13,0.17,5
1769500489.243587,19.61,19.61,-5.83,-0.29,3.17,0.24,5
1769500489.249064,19.61,19.61,-6.71,-0.1,3.22,0.42,5
1769500489.251881,19.61,19.61,-7.44,0.11,3.27,0.68,5
1769500489.254675,19.61,19.61,-8.29,0.31,3.33,0.94,5
1769500489.257417,19.61,19.61,-9.09,0.46,3.38,1.17,5
1769500489.260164,19.61,19.61,-10.02,0.53,3.45,1.4,5
1769500489.2628758,19.61,19.61,-10.82,0.55,3.51,1.62,5
1769500489.265726,19.61,19.61,-11.66,0.52,3.6,1.87,5
1769500489.268518,19.61,19.61,-12.62,0.44,3.72,2.11,5
1769500489.2713542,19.61,19.61,-13.4,0.3,3.82,2.35,5
1769500489.2766888,19.61,19.61,-14.02,0.12,3.99,2.59,5
1769500489.279393,19.61,19.61,-14.92,-0.09,4.22,2.85,5
1769500489.28221,19.61,19.61,-15.19,-0.34,4.3,3.12,5
1769500489.285092,19.61,19.61,-16.51,-0.65,4.37,3.3,5
1769500489.287866,19.61,19.61,-16.81,-1.0,4.37,3.39,5
1769500489.292204,19.61,19.61,-17.61,-1.36,4.37,3.49,5
1769500489.295062,18.58,19.61,-18.74,-2.53,4.37,4.23,5
1769500489.300386,16.54,19.61,-18.69,-2.67,4.37,4.37,5
1769500489.3032908,14.77,19.61,-18.7,-2.8,4.37,4.37,5
1769500489.306047,13.18,19.61,-18.6,-2.9,4.37,4.37,5
1769500489.3088582,12.19,19.61,-18.81,-2.99,4.37,4.37,5
