ax,ay,az,gx,gy,gz
0.49,11.12,-12.42,0.56,-4.37,-1.1
-0.08,10.55,-13.37,0.85,-4.37,-0.64
1.56,10.32,-14.14,0.76,-4.37,-0.41
2.8,9.74,-14.05,0.18,-4.16,-0.23
3.72,8.76,-13.88,-0.57,-3.23,-0.05
2.64,7.01,-15.21,-0.57,-2.58,0.05
4.66,6.88,-16.49,-0.08,-1.72,-0.11
5.51,7.36,-16.21,-0.06,-0.34,-0.04
4.82,7.39,-14.51,-0.6,0.65,0.01
4.68,6.12,-13.63,-1.09,1.23,0.15
4.89,4.74,-13.66,-0.87,1.78,0.01
4.75,5.34,-14.08,-0.28,2.31,-0.01
3.76,7.37,-14.82,0.09,2.77,0.04
3.25,9.41,-15.87,-0.08,3.26,0.16
2.62,10.7,-17.05,-0.5,3.8,0.35
1.83,11.56,-18.07,-0.77,4.31,0.57
0.65,12.08,-18.47,-0.78,4.37,0.8
-0.84,12.89,-17.76,-0.86,4.37,0.99
-2.43,13.71,-16.43,-1.14,4.37,1.2
-2.91,13.93,-14.7,-1.56,4.37,1.53
