ax,ay,az,gx,gy,gz
13.81,5.79,-9.48,0.11,-0.57,0.04
13.39,4.74,-11.28,0.64,0.82,-0.25
12.62,9.14,-10.96,0.14,0.93,-0.0
15.87,9.67,-11.28,-0.71,1.06,0.02
16.39,9.1,-11.44,-0.98,1.33,0.4
16.63,9.15,-11.2,-0.56,1.87,0.81
16.12,9.68,-10.46,-0.36,2.15,1.15
15.18,9.29,-10.38,-0.51,2.76,1.26
11.56,7.97,-9.58,-0.89,3.56,1.25
7.8,5.54,-8.06,-1.27,4.12,1.19
5.08,3.11,-5.64,-1.55,4.18,1.08
2.24,2.42,-4.07,-1.67,3.94,0.93
0.97,1.19,-1.33,-1.49,3.4,1.15
1.13,-0.46,-0.48,-1.14,2.7,1.11
2.03,-0.27,0.16,-0.72,2.39,0.72
1.91,-0.01,0.59,-0.35,2.27,0.6
1.72,1.03,1.69,-0.21,2.01,0.4
1.24,1.21,2.3,-0.21,1.32,0.3
2.28,0.08,2.31,-0.07,0.74,0.11
3.6,0.1,2.05,0.13,0.71,-0.12
