ax,ay,az,gx,gy,gz
2.13,3.78,-7.3,0.42,-0.55,0.42
2.65,2.4,-9.06,1.12,-0.63,0.48
4.46,2.32,-10.1,1.39,0.46,-0.13
3.53,4.71,-10.35,1.22,1.38,-0.45
1.98,5.5,-10.84,0.54,0.94,-0.43
5.02,5.28,-12.07,0.17,0.58,-0.14
7.58,5.09,-13.3,0.25,0.9,-0.1
8.37,6.44,-14.01,0.07,1.41,-0.17
8.77,7.46,-14.79,-0.58,1.92,-0.17
10.13,7.32,-16.03,-1.01,2.55,-0.13
11.24,6.88,-16.57,-0.91,3.36,-0.1
8.83,7.1,-15.98,-0.74,4.37,-0.15
6.74,6.81,-15.39,-0.84,4.37,0.01
6.13,5.77,-14.6,-1.14,4.37,0.02
3.77,5.43,-11.89,-1.5,4.37,0.07
1.29,5.44,-8.6,-1.96,4.37,0.22
-0.52,4.41,-5.06,-2.39,4.37,0.64
-0.31,1.56,-2.06,-2.3,4.27,0.84
-0.85,-0.48,0.34,-1.78,3.8,0.89
-1.79,-0.08,4.98,-1.39,2.94,0.96
