ax,ay,az,gx,gy,gz
9.72,9.81,-6.24,0.49,-2.4,0.61
11.16,4.45,-9.23,0.27,-2.32,0.65
16.05,8.42,-11.39,0.32,-0.55,-0.32
14.51,9.44,-10.95,-0.35,0.8,-0.37
15.24,10.17,-11.14,-0.89,1.25,-0.58
16.33,9.62,-12.02,-0.68,1.93,-0.32
14.59,10.42,-10.65,-0.38,2.24,-0.03
13.55,9.6,-10.38,-0.17,2.5,0.64
11.74,7.76,-9.55,0.07,3.17,0.98
9.33,6.57,-7.27,0.04,3.7,0.93
6.66,5.37,-5.8,-0.39,3.49,1.0
6.15,3.87,-4.97,-0.3,3.28,1.15
5.01,4.06,-4.61,-0.32,2.96,1.07
4.8,3.63,-3.64,-0.4,2.65,1.0
4.42,3.16,-2.73,-0.48,2.32,1.03
4.1,3.2,-1.88,-0.6,1.93,1.06
4.18,3.17,-1.2,-0.56,1.63,1.19
4.36,3.04,-0.46,-0.35,1.4,1.21
4.76,2.34,-0.19,-0.0,1.23,1.1
4.95,1.29,-0.42,0.31,1.33,0.81
