ax,ay,az,gx,gy,gz
12.65,19.61,-7.33,4.37,-0.38,4.37
1.15,9.0,-3.77,4.09,0.56,4.37
0.11,-4.87,-2.66,2.51,1.68,3.14
-1.3,-3.84,4.42,2.26,2.28,1.78
-3.16,-2.44,3.09,1.4,2.01,0.8
-3.28,1.05,1.64,0.44,1.16,0.6
0.18,-1.91,-1.27,0.26,0.53,0.12
3.32,1.65,-1.55,0.34,0.82,-0.27
3.75,2.29,1.76,-0.46,1.06,-0.42
4.85,2.92,4.99,-0.97,0.29,-0.27
7.62,1.11,2.68,-0.27,-0.2,-0.28
8.17,3.4,0.99,0.34,-0.07,-0.31
9.34,4.58,0.4,-0.09,-0.12,-0.17
10.36,3.29,0.61,-0.49,-0.1,-0.07
10.56,1.95,1.2,-0.43,-0.17,0.0
10.17,0.96,1.26,-0.12,-0.27,-0.02
9.59,1.34,0.91,0.11,-0.32,-0.12
8.38,1.8,0.21,0.04,-0.25,-0.24
7.16,2.07,0.1,-0.04,-0.18,-0.39
