ax,ay,az,gx,gy,gz
6.87,5.97,-1.18,0.35,-0.89,0.32
7.51,3.99,-5.45,0.84,-0.38,0.41
7.97,4.42,-2.97,1.38,0.71,-0.3
7.04,6.83,-3.1,1.14,0.72,-0.24
8.43,7.16,-3.85,0.73,0.46,-0.11
9.33,8.38,-4.42,0.39,0.33,0.08
11.3,8.81,-4.98,0.25,0.37,0.25
12.22,9.73,-5.86,0.36,0.54,0.53
13.69,10.87,-6.53,0.39,0.9,0.86
14.48,11.93,-7.51,0.06,1.46,0.99
14.01,11.74,-7.65,-0.34,2.14,1.14
11.17,10.61,-7.58,-0.54,2.84,1.5
9.17,8.49,-6.28,-0.63,3.19,1.7
7.87,7.12,-4.99,-0.81,3.46,1.68
5.74,5.78,-3.55,-0.86,3.51,1.64
3.55,4.25,-1.39,-0.83,3.37,1.73
2.43,2.61,0.81,-0.82,3.03,1.66
2.01,1.22,2.21,-0.65,2.52,1.44
1.77,0.49,2.82,-0.29,2.07,1.25
1.82,0.79,3.87,-0.2,1.7,0.98
