ax,ay,az,gx,gy,gz
4.17,10.59,-9.37,0.27,-1.63,-0.41
4.23,9.72,-9.56,0.4,-0.92,-0.26
3.35,9.14,-8.81,0.36,-0.39,-0.35
3.1,9.15,-8.07,0.38,-0.1,-0.34
3.15,9.72,-6.97,0.26,0.06,-0.11
3.01,9.4,-6.27,-0.04,0.01,0.27
3.22,8.18,-6.33,-0.15,-0.05,0.38
3.45,7.71,-6.38,-0.03,0.03,0.34
3.75,8.14,-6.43,-0.01,0.21,0.31
3.8,8.14,-6.87,-0.07,0.29,0.31
4.1,8.4,-7.61,0.05,0.39,0.34
4.78,9.16,-8.41,0.01,0.52,0.38
5.3,9.72,-9.46,-0.17,0.79,0.33
5.34,10.24,-10.61,-0.22,1.14,0.34
5.51,10.84,-11.8,-0.12,1.54,0.46
5.76,11.46,-12.77,-0.06,1.96,0.6
5.86,12.18,-13.47,-0.04,2.44,0.69
5.75,13.2,-13.71,-0.06,2.98,0.86
5.0,13.8,-13.67,-0.22,3.4,1.2
4.47,13.34,-13.4,-0.44,3.74,1.64
