time,ax,ay,az,gx,gy,gz,label
1769496670.402071,13.86,-1.72,-3.86,-4.37,3.38,-1.26,4
1769496670.404832,8.28,-2.05,-1.62,-4.37,4.0,-1.24,4
1769496670.4079092,13.24,-1.85,-4.42,-4.37,4.04,-1.0,4
1769496670.410433,11.58,-2.35,-4.56,-4.37,4.27,-0.88,4
1769496670.414347,10.28,-2.98,-3.32,-4.37,4.37,-0.75,4
1769496670.416036,9.37,-3.2,-3.77,-4.37,4.37,-0.67,4
1769496670.418806,8.3,-3.26,-3.63,-4.37,4.37,-0.59,4
1769496670.424217,7.19,-3.08,-3.44,-4.37,4.37,-0.52,4
1769496670.4268742,6.15,-3.09,-3.18,-4.37,4.37,-0.46,4
1769496670.42991,5.16,-3.24,-2.99,-4.37,4.37,-0.42,4
1769496670.432489,4.03,-3.48,-2.6,-4.37,4.37,-0.38,4
1769496670.436718,2.84,-3.69,-2.24,-4.37,4.37,-0.34,4
1769496670.43809,1.53,-4.08,-1.91,-4.37,4.37,-0.28,4
1769496670.44079,0.6,-4.39,-1.75,-4.37,4.37,-0.21,4
1769496670.4453871,-0.68,-4.45,-1.42,-4.37,4.37,-0.16,4
1769496670.4489548,-1.93,-4.48,-1.0,-4.37,4.37,-0.13,4
1769496670.451723,-3.26,-5.52,-0.86,-4.37,4.37,-0.06,4
1769496670.4544902,-4.52,-5.94,-0.63,-4.37,4.37,-0.02,4
1769496670.45755,-5.55,-6.35,-0.15,-4.37,4.37,0.0,4
1769496670.460554,-6.63,-6.97,0.31,-4.37,4.37,0.02,4
1769496670.4640782,-7.2,-7.22,0.49,-4.37,4.37,0.0,4
1769496670.465672,-8.51,-7.36,1.45,-4.37,4.37,-0.01,4
1769496670.468481,-9.24,-7.86,1.54,-4.37,4.37,-0.11,4
1769496670.473801,-7.93,-8.22,3.17,-4.37,4.37,-0.49,4
1769496670.476534,0.61,-2.38,0.79,-4.37,4.37,-0.93,4
1769496670.4807549,-19.61,-0.61,4.15,-4.37,4.37,-2.1,4
1769496670.4821792,-19.61,-19.61,-11.82,-4.37,4.37,-1.25,4
1769496670.484985,-13.43,-8.03,-1.18,-4.37,4.37,-1.36,4
1769496670.48821,-14.69,-4.25,9.65,-4.37,4.37,-0.88,4
1769496670.4931068,-13.75,-15.18,4.09,-4.37,4.37,0.26,4
1769496670.496395,-19.61,-10.4,19.61,-4.37,4.37,-0.37,4
1769496670.499246,-19.61,-6.66,6.12,-4.37,4.37,0.16,4
