time,ax,ay,az,gx,gy,gz,label
1769496731.063107,12.27,-2.58,3.88,0.22,-0.81,-0.13,4
1769496731.065954,12.64,-2.16,3.56,0.21,-0.78,-0.16,4
1769496731.068672,12.97,-1.78,3.22,0.18,-0.74,-0.2,4
1769496731.0740612,13.17,-1.42,2.89,0.14,-0.7,-0.24,4
1769496731.0769448,13.34,-1.59,2.74,0.1,-0.64,-0.27,4
1769496731.079713,13.59,-1.27,2.64,0.03,-0.6,-0.28,4
1769496731.085097,13.71,-1.02,2.51,-0.06,-0.54,-0.27,4
1769496731.0879848,14.08,-0.97,2.15,-0.2,-0.49,-0.27,4
1769496731.090719,14.33,-0.84,1.7,-0.34,-0.43,-0.27,4
1769496731.093467,14.53,-0.62,1.4,-0.49,-0.37,-0.26,4
1769496731.096249,14.61,-0.33,1.19,-0.65,-0.32,-0.24,4
1769496731.098936,14.8,-0.16,1.05,-0.83,-0.27,-0.2,4
1769496731.1017978,15.02,-0.17,0.76,-1.0,-0.2,-0.16,4
1769496731.107323,15.24,-0.19,0.61,-1.19,-0.14,-0.11,4
1769496731.110044,15.52,-0.3,0.27,-1.37,-0.07,-0.05,4
1769496731.112822,15.8,-0.46,-0.06,-1.54,0.01,0.01,4
1769496731.115535,15.96,-0.66,-0.32,-1.7,0.09,0.09,4
1769496731.11833,15.9,-0.72,-0.63,-1.83,0.18,0.15,4
1769496731.1210518,15.75,-1.03,-1.3,-1.96,0.34,0.23,4
1769496731.123874,15.65,-0.96,-1.27,-2.08,0.46,0.29,4
1769496731.129337,15.79,-1.3,-1.54,-2.24,0.52,0.37,4
1769496731.13212,15.65,-1.55,-1.97,-2.42,0.6,0.43,4
1769496731.134832,15.75,-2.05,-2.07,-2.61,0.74,0.47,4
1769496731.1376572,16.1,-2.55,-1.91,-2.85,0.87,0.49,4
1769496731.140417,16.71,-2.86,-1.93,-3.08,0.92,0.47,4
1769496731.143148,17.23,-2.72,-5.56,-3.05,1.0,0.52,4
1769496731.1471958,17.28,-3.1,-5.51,-3.05,1.07,0.54,4
1769496731.1526458,19.55,-4.76,-1.89,-3.26,0.9,0.38,4
1769496731.155486,19.61,-6.31,-8.59,-3.31,1.1,0.4,4
1769496731.1581922,15.49,-9.76,-4.3,-3.37,1.22,0.48,4
1769496731.160823,19.61,-0.17,-8.27,-3.15,1.44,0.01,4
1769496731.1638951,19.61,-7.32,-9.62,-3.47,1.76,0.06,4
1769496731.166514,19.61,-6.85,-9.17,-3.41,1.55,0.01,4
1769496731.169294,19.61,-5.63,-4.59,-3.49,1.33,-0.06,4
1769496731.174772,19.61,-5.59,-5.24,-3.79,1.01,-0.09,4
1769496731.1774888,19.61,-7.41,-9.4,-4.27,1.27,-0.16,4
1769496731.180299,13.85,-12.22,-19.17,-4.37,3.63,-0.86,4
1769496731.18305,19.61,-12.91,-5.44,-4.37,4.15,-0.75,4
1769496731.1858518,19.61,-5.0,-4.94,-4.37,4.37,-1.39,4
1769496731.188664,19.23,-3.41,-9.86,-4.37,4.37,-1.41,4
1769496731.194034,19.61,-7.18,-7.96,-4.37,4.37,-1.38,4
1769496731.196812,15.52,-3.18,-11.3,-4.37,4.37,-1.64,4
