ax,ay,az,gx,gy,gz
-9.11,3.2,1.93,0.42,2.11,-0.49
-9.84,0.25,-2.53,0.9,1.02,0.39
-13.77,4.2,-1.42,1.0,-0.34,-0.04
-9.08,3.16,0.0,0.06,-0.4,0.01
-11.06,2.44,-0.34,-0.57,0.09,0.01
-11.09,1.52,-0.55,-0.37,0.13,0.07
-10.47,2.27,-0.25,-0.11,0.15,0.15
-10.09,2.84,-0.15,-0.19,0.08,0.15
-9.8,2.9,-0.18,-0.52,-0.03,0.16
-9.83,2.49,-0.38,-0.66,-0.35,0.18
-8.98,2.11,-0.11,-0.46,-0.76,0.21
-7.89,2.04,0.45,-0.11,-0.9,0.22
-7.4,2.09,1.06,0.2,-0.82,0.18
-6.75,2.45,1.61,0.31,-0.59,0.19
-6.78,2.88,1.76,0.25,-0.23,0.13
-7.25,3.07,1.75,0.16,0.09,0.08
-8.26,3.21,1.61,0.14,0.26,0.03
-9.09,3.2,1.4,0.12,0.35,0.01
-10.19,3.18,1.09,0.17,0.38,0.02
-11.15,3.28,0.77,0.24,0.38,0.0
