ax,ay,az,gx,gy,gz
-8.35,4.07,-1.55,0.28,0.0,0.08
-8.8,4.14,-1.55,0.24,0.08,0.07
-8.94,3.96,-1.74,0.21,0.07,0.06
-8.78,3.85,-1.61,0.18,0.08,0.09
-8.81,3.86,-1.67,0.2,0.12,0.14
-8.61,3.95,-1.62,0.23,0.14,0.16
-8.45,4.07,-1.62,0.24,0.2,0.16
-8.42,4.13,-1.81,0.25,0.26,0.15
-8.5,4.15,-1.92,0.27,0.31,0.15
-8.62,4.13,-1.98,0.27,0.31,0.14
-8.76,4.21,-2.13,0.26,0.28,0.14
-8.74,4.24,-2.2,0.23,0.23,0.14
-8.65,4.24,-2.14,0.16,0.18,0.14
-8.61,4.21,-2.12,0.12,0.15,0.14
-8.62,4.23,-2.13,0.12,0.14,0.14
-8.64,4.3,-2.11,0.14,0.14,0.15
-8.6,4.35,-2.04,0.16,0.14,0.17
-8.56,4.48,-2.0,0.23,0.15,0.19
-8.66,4.61,-1.99,0.27,0.17,0.2
-8.78,4.65,-2.05,0.3,0.19,0.21
