ax,ay,az,gx,gy,gz
-12.84,10.0,3.51,-0.24,0.75,0.43
-14.64,10.07,3.15,0.19,0.81,-0.06
-14.66,9.31,1.98,0.38,0.72,-0.42
-13.77,7.94,0.45,0.25,0.61,-0.79
-12.99,6.22,-1.0,-0.11,0.48,-1.13
-12.12,4.04,-2.01,-0.53,0.17,-1.31
-10.86,2.02,-2.33,-0.81,-0.14,-1.37
-10.04,0.34,-2.22,-0.86,-0.34,-1.26
-9.11,-0.46,-1.85,-0.76,-0.39,-1.03
-7.95,-0.67,-1.62,-0.49,-0.35,-0.81
-6.97,-0.52,-1.42,-0.14,-0.26,-0.62
-6.75,-0.23,-1.16,0.11,-0.33,-0.42
-6.14,-0.14,-0.76,0.24,-0.45,-0.24
-5.51,0.28,-0.08,0.28,-0.49,0.01
-5.18,0.31,0.25,0.4,-0.39,0.23
-5.54,0.68,0.67,0.58,-0.26,0.44
-5.62,1.04,1.15,0.65,-0.12,0.63
-5.99,1.46,1.34,0.65,0.05,0.82
-6.23,1.82,1.28,0.62,0.24,0.93
-6.78,2.55,1.09,0.6,0.33,1.08
