ax,ay,az,gx,gy,gz
-8.99,2.38,0.26,-0.25,-0.25,-0.5
-8.39,2.41,0.66,0.1,-0.34,-0.37
-7.81,2.4,0.85,0.36,-0.43,-0.27
-7.27,2.23,1.36,0.52,-0.52,-0.21
-6.92,1.55,1.65,0.53,-0.46,-0.21
-6.48,0.74,1.96,0.52,-0.39,-0.06
-6.91,0.82,2.31,0.55,-0.37,0.17
-6.78,0.91,2.57,0.5,-0.38,0.37
-7.09,1.05,2.7,0.48,-0.4,0.49
-7.43,1.42,2.91,0.35,-0.33,0.55
-8.85,1.89,2.94,0.14,-0.21,0.6
-10.21,2.36,2.86,-0.01,-0.07,0.6
-11.41,3.26,2.67,-0.08,0.01,0.59
-12.28,4.44,2.49,-0.1,0.02,0.54
-12.33,5.68,2.33,-0.18,0.14,0.4
-12.31,6.42,1.62,-0.27,0.26,0.12
-12.29,6.78,0.61,-0.25,0.35,-0.21
-11.69,6.32,-0.2,-0.12,0.26,-0.56
-10.79,5.32,-0.52,0.03,0.08,-0.85
-9.53,3.94,-0.36,0.12,-0.07,-1.0
