ax,ay,az,gx,gy,gz
-9.4,-0.68,2.42,-0.2,-0.16,-0.15
-9.56,-0.65,2.45,-0.04,-0.21,-0.2
-9.09,-0.58,2.59,0.08,-0.13,-0.16
-9.03,-0.21,2.77,0.11,0.16,-0.06
-9.33,-0.0,2.84,0.06,0.28,-0.05
-9.36,-0.07,2.62,0.02,0.33,-0.06
-9.43,-0.09,2.51,0.05,0.41,-0.01
-9.39,-0.06,2.37,0.07,0.43,0.01
-9.4,-0.04,2.29,0.09,0.45,0.05
-9.45,-0.02,2.3,0.1,0.46,0.08
-9.66,0.13,2.26,0.06,0.43,0.12
-9.74,0.21,2.21,0.02,0.4,0.11
-9.77,0.16,2.14,-0.02,0.36,0.1
-9.81,0.09,2.06,-0.04,0.31,0.08
-9.82,0.06,1.99,-0.05,0.26,0.07
-9.7,-0.04,1.91,0.02,0.16,0.04
-9.57,-0.07,1.85,0.08,0.11,0.04
-9.56,0.01,1.8,0.13,0.08,0.06
-9.56,0.16,1.84,0.15,0.05,0.06
-9.48,0.3,1.91,0.15,0.04,0.08
